before_stopword,after_stopword
"['ya', 'itu', 'karena', 'brightonnya', 'bagus', 'main', 'offside', 'traptrus', 'dengan', 'lu', 'masukin', 'mctominay', 'ada', 'perubahan', 'kah']",ya brightonnya bagus main offside traptrus lu masukin mctominay perubahan kah
"['mungkin', 'kita', 'bisa', 'lebih', 'cepat', 'dalam', 'transisi', 'serangan', 'beberapa', 'kali', 'brighton', 'mampu', 'menahan', 'kita', 'dengan', 'mudah']",cepat transisi serangan kali brighton menahan mudah
"['pelatih', 'fisiknya', 'siapa', 'emyu']",pelatih fisiknya emyu
"['tiap', 'musim', 'begini', 'terus']",musim
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"['laga', 'kedua', 'memperlihatkan', 'perbaikan', 'dalam', 'pertahanan', 'namun', 'rashford', 'harus', 'lebih', 'sering', 'menembak', 'untuk', 'mendapatkan', 'gol']",laga perbaikan pertahanan rashford menembak gol
"['kenapa', 'amorim', 'tidak', 'mencoba', 'lebih', 'banyak', 'pemain', 'muda', 'padahal', 'ada', 'potensi']",amorim mencoba pemain muda potensi
"['sudah', 'benar', 'dapat', 'tandem', 'pemain', 'yang', 'pas', 'eksperimen', 'enggak', 'jelas', 'lagi', 'mas', 'morim', 'mas', 'morim']",tandem pemain pas eksperimen mas morim mas morim
"['sudah', 'kubilang', 'kalo', 'pemain', 'mu', 'itu', 'lagi', 'bagus', 'sbnerbya', 'bukan', 'pemainnya', 'yang', 'bagus', 'tapi', 'lawannya', 'yang', 'lagi', 'jelek']",kubilang kalo pemain mu bagus sbnerbya pemainnya bagus lawannya jelek
"['biasanya', 'alumni', 'emyu', 'sukses', 'di', 'itali', 'darmian', 'alexis', 'lukaku', 'young', 'smalling']",alumni emyu sukses di itali darmian alexis lukaku young smalling
"['untung', 'enggak', 'ada', 'var']",untung var
"['yora', 'sports']",yora sports
"['mood', 'kaca', 'balau', 'habis', 'ntn', 'mu', 'pengaruh', 'enggak', 'baik', 'buat', 'kesehatan', 'dan', 'kedamaian', 'keluarga']",mood kaca balau habis ntn mu pengaruh kesehatan kedamaian keluarga
"['rashford', 'pun', 'tak', 'guna']",rashford
"['kemarin', 'mainoo', 'dimainin', 'didepan', 'bisa', 'bagus', 'pas', 'dimainin', 'diepl', 'ternyata', 'kocak', 'lagi', 'pemainya', 'mau', 'pep', 'pun', 'ngelatih', 'emyu', 'kalo', 'pemainny', 'kocak', 'enggak', 'bakal', 'kemana']",kemarin mainoo dimainin didepan bagus pas dimainin diepl kocak pemainya pep ngelatih emyu kalo pemainny kocak kemana
"['style', 'penalty', 'licha', 'gila', 'cool', 'banget']",style penalty licha gila cool banget
"['surem', 'anjir', 'yang', 'cederaancur', 'deh', 'cedera', 'apa', 'arisan', 'itu']",surem anjir cederaancur deh cedera arisan
"['amorim', 'ngebangun', 'mu', 'jadi', 'tim', 'yang', 'fun', 'buat', 'ditonton', 'lagi', 'bukan', 'sekadar', 'parkir', 'bus', 'atau', 'bola', 'mati', 'doang']",amorim ngebangun mu tim fun ditonton parkir bus bola mati doang
"['senang', 'lihat', 'pemain', 'muda', 'dapat', 'kesempatan', 'di', 'era', 'amorim', 'ini', 'yang', 'kita', 'butuhkan']",senang lihat pemain muda kesempatan di era amorim butuhkan
"['sudah', 'bukan', 'salah', 'pelatih', 'bwangg', 'memang', 'emyu', 'yang', 'bapuk']",salah pelatih bwangg emyu bapuk
"['ten', 'hag', 'berhasil', 'membawa', 'tim', 'lebih', 'dekat', 'dengan', 'identitas', 'bermain', 'yang', 'jelas', 'namun', 'di', 'pertandingan', 'besar', 'masih', 'terlihat', 'kekurangan', 'mental']",ten hag berhasil membawa tim identitas bermain di pertandingan kekurangan mental
"['ini', 'yang', 'salah', 'dari', 'mu', 'pelatih', 'apa', 'pemain']",salah mu pelatih pemain
"['yang', 'benar', 'baru', 'match', 'sudah', 'kali', 'kalah', 'nih', 'pak', 'ten', 'hag']",match kali kalah nih ten hag
['bacot'],bacot
"['menonton', 'final', 'fa', 'enggak']",menonton final fa
"['seengganya', 'lah', 'menang', 'bang']",seengganya menang bang
"['itu', 'mah', 'enggak', 'sengaja', 'sih', 'enggak', 'ada', 'niat', 'buat', 'nyentuh', 'dari', 'dia', 'juga']",mah sengaja sih niat nyentuh
"['fcsb', 'garis', 'kerasnya']",fcsb garis kerasnya
"['nyusahin', 'amat', 'mending', 'pindah', 'saja']",nyusahin mending pindah
"['dia', 'melakukan', 'tugas', 'striker', 'masuk', 'kesana', 'plus', 'deh', 'dalam', 'keadaan', 'meluncur', 'bang', 'susah', 'pastinya', 'mikir', 'n', 'ngendaliin', 'anggota', 'badan', 'dalam', 'sepersekian', 'detik', 'benar', 'unlucky', 'kalo', 'striker', 'gedebog', 'pisang', 'mungkin', 'dia', 'cuma', 'diam', 'di', 'dekat', 'titik', 'pinalti']",tugas striker masuk kesana plus deh meluncur bang susah pastinya mikir n ngendaliin anggota badan sepersekian detik unlucky kalo striker gedebog pisang diam di titik pinalti
"['apasii', 'nih', 'kiperr', 'bab']",apasii nih kiperr bab
"['ganti', 'pelatihnya', 'dulu', 'terus', 'kalo', 'sudah', 'dapat', 'pelatih', 'baru', 'yang', 'pintar', 'pasti', 'rashford', 'sama', 'casemiro', 'di', 'jual', 'simpel', 'kan', 'enggak', 'banyak', 'ribet']",ganti pelatihnya kalo pelatih pintar rashford casemiro di jual simpel ribet
"['hahaha', 'siap', 'sih', 'paling', 'enggak', 'fomo']",hahaha sih fomo
"['kalo', 'lu', 'objektif', 'secara', 'permainan', 'match', 'ini', 'sudah', 'bagus', 'cuma', 'error', 'pemainnya', 'masih', 'belum', 'berubah', 'ada', 'saja', 'momen', 'miss', 'yang', 'berujung', 'gol', 'atau', 'enggak', 'gol']",kalo lu objektif permainan match bagus error pemainnya berubah momen miss berujung gol gol
"['biarin', 'saja', 'bang', 'wkwk', 'capek', 'sendiri', 'mereka', 'jelas', 'squadnya', 'kagak', 'jelas', 'makanya', 'amorim', 'masih', 'coba', 'terus', 'musim', 'ini', 'di', 'pl', 'kayaknya', 'ngincer', 'enggak', 'degradasi', 'saja', 'ngandelin', 'uel', 'sama', 'fa', 'doang']",biarin bang wkwk capek squadnya kagak amorim coba musim di pl kayaknya ngincer degradasi ngandelin uel fa doang
"['siapa', 'yang', 'baru', 'main', 'di', 'epl', 'bagus']",main di epl bagus
"['rashford', 'memang', 'striker', 'kocak', 'juga', 'nih']",rashford striker kocak nih
"['lemah', 'wkwkw']",lemah wkwkw
"['nah', 'kan', 'hidup', 'mainnya']",hidup mainnya
"['kalo', 'fan', 'asli', 'sono', 'mah', 'yang', 'di', 'desak', 'bukan', 'pelatih', 'tapi', 'glazers', 'family']",kalo fan asli sono mah di desak pelatih glazers family
"['tiap', 'tahun', 'sekali', 'gacornya', 'setengah', 'musim', 'doang', 'wkwkwk']",gacornya musim doang wkwkwk
"['pemain', 'kita', 'harus', 'mulai', 'menonton', 'tutorial', 'youtube', 'cara', 'passing', 'yang', 'benar']",pemain menonton tutorial youtube passing
"['lawak', 'terlucu', 'abad', 'ini']",lawak terlucu abad
"['amorim', 'sudah', 'membuat', 'kemajuan', 'besar', 'di', 'sektor', 'pertahanan', 'tetapi', 'serangan', 'balik', 'sering', 'kali', 'tidak', 'cukup', 'tajam', 'untuk', 'memanfaatkan', 'peluang']",amorim kemajuan di sektor pertahanan serangan kali tajam memanfaatkan peluang
"['dan', 'hebatnya', 'selalu', 'dipasang', 'sama', 'eth']",hebatnya dipasang eth
"['pengin', 'main', 'di', 'uel', 'saja']",pengin main di uel
"['gua', 'bodo', 'amat', 'lah', 'kalah', 'yang', 'jelas', 'wajib', 'minimal', 'thropy', 'akhir', 'musim']",gua bodo kalah wajib minimal thropy musim
"['kapan', 'lagi', 'dapat', 'pemain', 'tapi', 'kalo', 'ke', 'juve', 'oke', 'lah', 'barter', 'sama', 'chiesa', 'mah']",pemain kalo ke juve oke barter chiesa mah
"['memang', 'enggak', 'adagaji', 'juga', 'turun', 'jauh']",adagaji turun
"['astaghfirullah', 'baru', 'babak', 'pertama', 'padahal', 'di', 'akun', 'bola', 'sudah', 'sibuk', 'ini', 'itulah']",astaghfirullah babak di akun bola sibuk
"['makanya', 'itu', 'gua', 'juga', 'bingung', 'ini', 'raspot', 'main', 'mulu', 'cadangin', 'kayak', 'ganti', 'garnacho', 'kiri', 'ini', 'malah', 'sih', 'amad', 'gua', 'juga', 'gedeg', 'dibela', 'karena', 'mental', 'lawan', 'team', 'gede', 'lebih', 'ok', 'haduhh', 'ampun']",gua bingung raspot main mulu cadangin kayak ganti garnacho kiri sih amad gua gedeg dibela mental lawan team gede ok haduhh ampun
"['tampil', 'solid', 'di', 'babak', 'pertama', 'tapi', 'babak', 'kedua', 'mulai', 'kehilangan', 'fokus', 'harus', 'lebih', 'fokus', 'di', 'pertandingan', 'selanjutnya']",tampil solid di babak babak kehilangan fokus fokus di pertandingan
"['var', 'enggak', 'guna', 'anjir']",var anjir
"['baru', 'dua', 'match', 'tenang', 'saja', 'lagian', 'pemain', 'baru', 'juga', 'butuh', 'waktu', 'buat', 'adaptasi']",match tenang pemain butuh adaptasi
['elsilahkan'],elsilahkan
"['rashford', 'pun', 'tak', 'guna']",rashford
"['momen', 'fa', 'cup']",momen fa cup
"['bukan', 'sejauh', 'ini', 'sudah', 'dari', 'akhir', 'musim', 'dia', 'main', 'buruk', 'bro', 'di', 'kata', 'dia', 'main', 'jelek', 'karena', 'ada', 'cr', 'lah', 'cr', 'keluar', 'sempat', 'naik', 'tapi', 'sisanya', 'amburadul', 'bro']",musim main buruk bro di main jelek cr cr sisanya amburadul bro
"['ada', 'saja', 'sial', 'nya']",sial nya
"['ini', 'pelatih', 'memang', 'kebanyakan', 'bacot', 'tong', 'kosong', 'bunyinya', 'memang', 'nyaring', 'deh']",pelatih kebanyakan bacot tong kosong bunyinya nyaring deh
"['pertandingan', 'ini', 'memperlihatkan', 'dominasi', 'kita', 'tetapi', 'brighton', 'tetap', 'memberi', 'tekanan', 'yang', 'perlu', 'kita', 'waspadai', 'ke', 'depannya']",pertandingan dominasi brighton tekanan waspadai ke depannya
"['mu', 'menang', 'tapi', 'kalau', 'kita', 'enggak', 'perbaiki', 'pertahanan', 'bisa', 'bahaya', 'di', 'lagalaga', 'selanjutnya']",mu menang perbaiki pertahanan bahaya di lagalaga
"['taktik', 'tolol', 'ini', 'kenapa', 'sih', 'enggak', 'pakai', 'saja', 'heran', 'deh', 'eth', 'trllu', 'memaksakan', 'mount', 'tapi', 'enggak', 'mau', 'cadangin', 'bruno']",taktik tolol sih pakai heran deh eth trllu memaksakan mount cadangin bruno
"['ft', 'win']",ft win
"['mungkin', 'saja', 'kena', 'flu', 'enggak', 'melulu', 'soal', 'cedera']",kena flu melulu cedera
"['stok', 'pelatih', 'top', 'minim', 'di', 'eropa', 'sekarang', 'ya', 'semoga', 'saja', 'eth', 'bisa', 'nemu', 'pakem', 'yang', 'pas', 'setelah', 'kekalahan', 'kemarin', 'harusnya', 'sudah', 'enggak', 'coba', 'lagi', 'sih', 'terlebih', 'cuma', 'beberapa', 'pemain', 'saja', 'yang', 'cedera']",stok pelatih top minim di eropa ya semoga eth nemu pakem pas kekalahan kemarin coba sih pemain cedera
"['saya', 'rasa', 'ruben', 'amorim', 'sudah', 'menunjukkan', 'perubahan', 'yang', 'positif', 'meskipun', 'hasilnya', 'imbang', 'saya', 'optimis', 'mu', 'akan', 'lebih', 'baik', 'ke', 'depannya']",ruben amorim perubahan positif hasilnya imbang optimis mu ke depannya
"['kenapa', 'kagak', 'casemiro', 'yang', 'di', 'ganti', 'malah', 'bruno']",kagak casemiro di ganti bruno
"['bayindir', 'bisa', 'nih', 'geser', 'onane']",bayindir nih geser onane
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"['hasil', 'imbang', 'di', 'laga', 'pertama', 'sedikit', 'mengecewakan', 'tapi', 'saya', 'bisa', 'melihat', 'semangat', 'baru', 'dalam', 'permainan', 'mu', 'di', 'bawah', 'ruben', 'amorim']",hasil imbang di laga mengecewakan semangat permainan mu di ruben amorim
"['kebanyakan', 'pegang', 'bola', 'sekali', 'di', 'serang', 'gol', 'parah']",kebanyakan pegang bola di serang gol parah
"['kamu', 'keren', 'onana', 'enggak', 'pernah', 'becus', 'nangkap', 'penalti']",keren onana becus nangkap penalti
"['pokoknya', 'jual', 'dulu', 'sih', 'rasford', 'sudah', 'capek', 'kali', 'lihat', 'dia', 'main', 'ke', 'begitu', 'mulu']",pokoknya jual sih rasford capek kali lihat main ke mulu
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"['mainnya', 'tenang', 'dan', 'rapi', 'senang', 'banget', 'nontonnya']",mainnya tenang rapi senang banget nontonnya
"['sudah', 'dari', 'musim', 'kemarin', 'perform', 'rashford', 'ini', 'turun', 'bgtcuma', 'mungkin', 'karena', 'pemain', 'lokal', 'yang', 'harus', 'di', 'utamain', 'jadi', 'ten', 'hag', 'juga', 'enggak', 'bisa', 'nolak', 'buat', 'enggak', 'mainin', 'dia', 'kayanya']",musim kemarin perform rashford turun bgtcuma pemain lokal di utamain ten hag nolak mainin kayanya
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"['defender', 'kita', 'lemot', 'parah', 'kalah', 'sprint', 'sama', 'kakekkakek']",defender lemot parah kalah sprint kakekkakek
"['eriksen', 'enggak', 'bisa', 'pressing']",eriksen pressing
"['saya', 'senang', 'melihat', 'bruno', 'fernandes', 'tampil', 'lebih', 'dominan', 'di', 'lini', 'tengah', 'meskipun', 'hasilnya', 'imbang', 'saya', 'optimis', 'dengan', 'masa', 'depan', 'mu', 'di', 'bawah', 'ruben', 'amorim']",senang bruno fernandes tampil dominan di lini hasilnya imbang optimis mu di ruben amorim
"['ruben', 'amorim', 'membawa', 'filosofi', 'permainan', 'yang', 'menarik', 'meskipun', 'imbang', 'saya', 'berharap', 'dia', 'bisa', 'segera', 'membuat', 'mu', 'lebih', 'kompetitif']",ruben amorim membawa filosofi permainan menarik imbang berharap mu kompetitif
"['pendukung', 'itu', 'apa', 'bang', 'aku', 'fan', 'emyu', 'pokok', 'nya', 'yang', 'enggak', 'sumbu', 'pendek', 'dan', 'tetap', 'objektif', 'lihat', 'kondisi', 'dalam', 'dan', 'luar', 'lapangan']",pendukung bang fan emyu pokok nya sumbu pendek objektif lihat kondisi lapangan
"['hojlund', 'makin', 'tajam', 'tapi', 'jika', 'defense', 'enggak', 'diperbaiki', 'mu', 'enggak', 'akan', 'jauh', 'kemenangan', 'masih', 'belum', 'cukup']",hojlund tajam defense diperbaiki mu kemenangan
"['antony', 'tuker', 'mudryk', 'saja']",antony tuker mudryk
"['gila', 'seru', 'banget', 'pertandingan', 'kali', 'ini', 'ayo', 'terus', 'berjuang']",gila seru banget pertandingan kali ayo berjuang
"['di', 'bawah', 'amorim', 'tim', 'lebih', 'solid', 'secara', 'keseluruhan', 'meski', 'ketajaman', 'di', 'depan', 'gawang', 'perlu', 'ditingkatkan']",di amorim tim solid ketajaman di gawang ditingkatkan
"['maksud', 'dia', 'pemain', 'brighton', 'sudah', 'berada', 'dibelakang', 'bola', 'semua']",maksud pemain brighton dibelakang bola
"['martial', 'jilid']",martial jilid
"['ya', 'seperti', 'biasa', 'setelah', 'ini', 'lihat', 'rashford', 'beraksi', 'buat', 'villa', 'dengan', 'sentuhan', 'magic', 'nyaseperti', 'pemain', 'mu', 'lainnya', 'yang', 'terbuang']",ya lihat rashford beraksi villa sentuhan magic nyaseperti pemain mu terbuang
"['midfield', 'kita', 'sampah', 'enggak', 'bisa', 'ngontrol', 'tempo', 'umpan', 'mengaco', 'semua']",midfield sampah ngontrol tempo umpan mengaco
"['skema', 'serangan', 'balik', 'amorim', 'lebih', 'efektif', 'pemain', 'lebih', 'cepat', 'mengambil', 'keputusan']",skema serangan amorim efektif pemain cepat mengambil keputusan
"['nah', 'forest', 'sering', 'loh', 'main', 'bek', 'match', 'terakhir', 'menang', 'juga', 'pakai', 'formasi', 'itu']",forest loh main bek match menang pakai formasi
"['rasford', 'onana', 'akan', 'selalu', 'jadi', 'starter', 'main', 'full', 'minta', 'sampai', 'akhir', 'musim', 'tak', 'terkecuali', 'mau', 'main', 'nya', 'jelek', 'sir', 'ten', 'hag', 'nih', 'bos', 'kepala', 'batu']",rasford onana starter main full musim terkecuali main nya jelek sir ten hag nih bos kepala batu
"['mungkin', 'karena', 'ini', 'sih', 'jadi', 'emyu', 'menambah', 'm', 'saja']",sih emyu menambah m
"['tim', 'medis', 'nya', 'dipertanyakan']",tim medis nya
"['peluang', 'yang', 'terbuang', 'sangat', 'disayangkan', 'harus', 'lebih', 'efektif']",peluang terbuang disayangkan efektif
"['sabar', 'min', 'masih', 'ada', 'lagi', 'kekalahan', 'demi', 'kekalahan', 'selanjutnya', 'kalau', 'kita', 'ingin', 'tsunami', 'trophy', 'main', 'game', 'saja']",sabar min kekalahan kekalahan tsunami trophy main game
"['jam', 'berapa', 'main', 'nya', 'bang']",jam main nya bang
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"['piala', 'fa', 'enggak', 'ada', 'var', 'ya', 'sepertinya', 'goal', 'maguire', 'offside']",piala fa var ya goal maguire offside
"['mu', 'harus', 'segera', 'cari', 'bek', 'tengah', 'baru', 'terlalu', 'mudah', 'ditembus', 'lawan']",mu cari bek mudah ditembus lawan
"['fit', 'tapi', 'tll']",fit tll
"['permainan', 'lebih', 'terorganisir', 'di', 'bawah', 'ruben', 'amorim', 'meskipun', 'tim', 'belum', 'tampil', 'maksimal', 'saya', 'melihat', 'banyak', 'potensi', 'dalam', 'tim', 'ini']",permainan terorganisir di ruben amorim tim tampil maksimal potensi tim
"['maulana', 'jangankan', 'mau', 'menyaingi', 'pep', 'untuk', 'level', 'arteta', 'saja', 'enggak', 'akan', 'mampu']",maulana menyaingi pep level arteta
"['siap', 'coach', 'indraa', 'nanti', 'ingatkan', 'lagi', 'saja', 'ya', 'mungkin', 'manajemen', 'nya', 'lupa']",coach indraa ingatkan ya manajemen nya lupa
"['reflex', 'onana', 'sangat', 'bagus', 'itu', 'gol', 'pertama', 'bengong', 'doang']",reflex onana bagus gol bengong doang
"['lah', 'dulu', 'beli', 'pemain', 'bintang', 'mahal', 'juga', 'bapuk']",beli pemain bintang mahal bapuk
"['nah', 'ini', 'yang', 'jadi', 'pertanyakan', 'juga', 'kenapa', 'kemarin', 'mainin', 'sih', 'raspot', 'ya']",kemarin mainin sih raspot ya
"['ugarte', 'dm', 'maino', 'cuma', 'bruno', 'amf', 'lwf', 'garnacho', 'rwf', 'amad', 'cf', 'hojlund']",ugarte dm maino bruno amf lwf garnacho rwf amad cf hojlund
"['pelatih', 'enggak', 'jelas', 'banyak', 'omong', 'hasil']",pelatih omong hasil
"['nah', 'yang', 'heran', 'tuh', 'begitu', 'padahal', 'brighton', 'prlatih', 'baru', 'tapi', 'permainan', 'enak']",heran tuh brighton prlatih permainan enak
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"['iyayang', 'rugi', 'ed', 'yang', 'untung', 'ineos']",iyayang rugi ed untung ineos
"['disini', 'gue', 'enggak', 'bela', 'onana', 'ya', 'tapi', 'tadi', 'yang', 'salah', 'maguire', 'malah', 'fokus', 'ke', 'bola', 'enggak', 'lihat', 'pergerakan', 'welbeck']",gue bela onana ya salah maguire fokus ke bola lihat pergerakan welbeck
"['mainnya', 'lumayan', 'enggak', 'terlalu', 'buruk', 'tapi', 'juga', 'enggak', 'spesial']",mainnya lumayan buruk spesial
"['botak', 'memang', 'beda', 'pemain', 'pengganti', 'kocak', 'semua']",botak beda pemain pengganti kocak
"['pertandingan', 'seru', 'tapi', 'tim', 'harus', 'lebih', 'konsisten', 'kalau', 'mau', 'menang', 'terus']",pertandingan seru tim konsisten menang
"['betul', 'bro', 'yang', 'penting', 'menang', 'saja', 'sudah', 'alhamdulillah']",bro menang alhamdulillah
"['dc', 'dalam', 'bersepak', 'bola', 'juga', 'butuh', 'pemain', 'pembawa', 'keberuntungandulu', 'puzzle', 'saf', 'adala', 'eric', 'cantonanomer', 'enggak', 'layak', 'buat', 'mountkalau', 'enggak', 'suruh', 'dia', 'ganti', 'no', 'punggung']",dc bersepak bola butuh pemain pembawa keberuntungandulu puzzle saf adala eric cantonanomer layak mountkalau suruh ganti no punggung
"['kemenangan', 'memang', 'penting', 'tapi', 'lebih', 'penting', 'lagi', 'konsistensi']",kemenangan konsistensi
"['sangat', 'layak', 'tim', 'remukan', 'rengginang', 'tukang', 'sogok', 'wasit', 'harom']",layak tim remukan rengginang tukang sogok wasit harom
"['amorim', 'ngebangun', 'chemistry', 'tim', 'yang', 'solid', 'sampai', 'yang', 'mudamuda', 'pun', 'bisa', 'saling', 'dukung', 'dan', 'berkembang']",amorim ngebangun chemistry tim solid mudamuda dukung berkembang
"['sabar', 'dulu', 'bang', 'wkwkw', 'pergantiannya', 'memang', 'aneh', 'tunggu', 'tahun', 'lagi', 'biar', 'genap', 'tahun', 'kalo', 'masih', 'begitu', 'begitu', 'saja', 'harus', 'out', 'eth', 'kenapa', 'tahun', 'kita', 'lihat', 'saja', 'ke', 'klop', 'di', 'liverpool']",sabar bang wkwkw pergantiannya aneh tunggu biar genap kalo out eth lihat ke klop di liverpool
"['kenapa', 'tiap', 'emyu', 'cetak', 'gol', 'itu', 'wasit', 'var', 'matanya', 'langsung', 'jeli']",emyu cetak gol wasit var matanya langsung jeli
"['fit', 'tapi', 'planga', 'plongo']",fit planga plongo
"['laga', 'kedua', 'menunjukkan', 'bahwa', 'ruben', 'amorim', 'sudah', 'mulai', 'membuat', 'perubahan', 'dalam', 'permainan', 'tim', 'meskipun', 'masih', 'ada', 'banyak', 'ruang', 'untuk', 'perbaikan']",laga ruben amorim perubahan permainan tim ruang perbaikan
"['busetbaru', 'kalah', 'sekali', 'saja', 'sudah', 'kayak', 'kali', 'kalah', 'beruntunlebayy', 'amat', 'permainan', 'sudah', 'kelihatan', 'jauh', 'meningkat', 'timbang', 'musim', 'kemarenmusim', 'kemarin', 'passing', 'saja', 'pada', 'enggak', 'bisaskarang', 'sudah', 'bisa', 'keluar', 'dari', 'pressing', 'lawan']",busetbaru kalah kayak kali kalah beruntunlebayy permainan meningkat timbang musim kemarenmusim kemarin passing bisaskarang pressing lawan
"['pergerakan', 'tanpa', 'bola', 'lebih', 'baik', 'di', 'era', 'amorim', 'dibanding', 'ten', 'hag']",pergerakan bola di era amorim dibanding ten hag
"['iya', 'itu', 'maksud', 'gue', 'bola', 'sudah', 'depan', 'semua', 'pemain', 'brigton', 'kan', 'suka', 'tuh', 'sudah', 'one', 'on', 'one', 'sama', 'kiper', 'terus', 'bola', 'nya', 'di', 'oper', 'ke', 'samping', 'kga', 'offside']",iya maksud gue bola pemain brigton suka tuh one on one kiper bola nya di oper ke samping kga offside
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"['dia', 'free', 'transfer', 'seengga', 'nya', 'ada', 'opsi', 'gelandang', 'apalagi', 'eriksen', 'lindelof', 'sancho', 'mau', 'out', 'bisa', 'ngurangin', 'gaji', 'tim']",free transfer seengga nya opsi gelandang eriksen lindelof sancho out ngurangin gaji tim
"['keputusan', 'bijak', 'nan', 'cerdas', 'wkwk', 'enggak', 'mengikuti', 'sebulan', 'saja', 'hidup', 'rasanya', 'lebih', 'fresh']",keputusan bijak nan cerdas wkwk mengikuti sebulan hidup fresh
"['kekalahan', 'kita', 'bermain', 'sangat', 'buruk', 'terutama', 'di', 'lini', 'belakang', 'harus', 'segera', 'diperbaiki', 'sebelum', 'terlambat']",kekalahan bermain buruk di lini diperbaiki terlambat
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"['flop', 'juga', 'enggak', 'masalah', 'sih', 'harga', 'murahgaji', 'juga', 'turun', 'jauh', 'tidak', 'ada', 'biaya', 'peminjaman', 'juga']",flop sih harga murahgaji turun biaya peminjaman
