before_tokenisasi,after_tokenisasi
laga kedua memperlihatkan perbaikan dalam pertahanan namun rashford harus lebih sering menembak untuk mendapatkan gol,"['laga', 'kedua', 'memperlihatkan', 'perbaikan', 'dalam', 'pertahanan', 'namun', 'rashford', 'harus', 'lebih', 'sering', 'menembak', 'untuk', 'mendapatkan', 'gol']"
lini depan kita jauh lebih hidup tapi defense kita masih rapuh harus lebih solid lagi di belakang,"['lini', 'depan', 'kita', 'jauh', 'lebih', 'hidup', 'tapi', 'defense', 'kita', 'masih', 'rapuh', 'harus', 'lebih', 'solid', 'lagi', 'di', 'belakang']"
min dalot deh ligt martinez mazroui kasih delandang ugarte casemiro bruno maino depan coba zirkzee hojlund,"['min', 'dalot', 'deh', 'ligt', 'martinez', 'mazroui', 'kasih', 'delandang', 'ugarte', 'casemiro', 'bruno', 'maino', 'depan', 'coba', 'zirkzee', 'hojlund']"
gegenpressing ala amorim lebih efektif daripada pressing setengah matang ten hag,"['gegenpressing', 'ala', 'amorim', 'lebih', 'efektif', 'daripada', 'pressing', 'setengah', 'matang', 'ten', 'hag']"
untung enggak el silahkan,"['untung', 'enggak', 'el', 'silahkan']"
pemainpemain senior perlu memberi contoh kepada pemain muda di dalam tim,"['pemainpemain', 'senior', 'perlu', 'memberi', 'contoh', 'kepada', 'pemain', 'muda', 'di', 'dalam', 'tim']"
enggak di tonton menang giliran ditonton kalah mending enggak usah menonton dulu,"['enggak', 'di', 'tonton', 'menang', 'giliran', 'ditonton', 'kalah', 'mending', 'enggak', 'usah', 'menonton', 'dulu']"
itu bek solid banget anjir,"['itu', 'bek', 'solid', 'banget', 'anjir']"
gas,['gas']
strategi sudah bagus tapi finishingnya parah buang peluang mulu,"['strategi', 'sudah', 'bagus', 'tapi', 'finishingnya', 'parah', 'buang', 'peluang', 'mulu']"
ya itu karena brightonnya bagus main offside traptrus dengan lu masukin mctominay ada perubahan kah,"['ya', 'itu', 'karena', 'brightonnya', 'bagus', 'main', 'offside', 'traptrus', 'dengan', 'lu', 'masukin', 'mctominay', 'ada', 'perubahan', 'kah']"
mungkin kita bisa lebih cepat dalam transisi serangan beberapa kali brighton mampu menahan kita dengan mudah,"['mungkin', 'kita', 'bisa', 'lebih', 'cepat', 'dalam', 'transisi', 'serangan', 'beberapa', 'kali', 'brighton', 'mampu', 'menahan', 'kita', 'dengan', 'mudah']"
pelatih fisiknya siapa emyu,"['pelatih', 'fisiknya', 'siapa', 'emyu']"
tiap musim begini terus,"['tiap', 'musim', 'begini', 'terus']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
laga kedua memperlihatkan perbaikan dalam pertahanan namun rashford harus lebih sering menembak untuk mendapatkan gol,"['laga', 'kedua', 'memperlihatkan', 'perbaikan', 'dalam', 'pertahanan', 'namun', 'rashford', 'harus', 'lebih', 'sering', 'menembak', 'untuk', 'mendapatkan', 'gol']"
kenapa amorim tidak mencoba lebih banyak pemain muda padahal ada potensi,"['kenapa', 'amorim', 'tidak', 'mencoba', 'lebih', 'banyak', 'pemain', 'muda', 'padahal', 'ada', 'potensi']"
sudah benar dapat tandem pemain yang pas eksperimen enggak jelas lagi mas morim mas morim,"['sudah', 'benar', 'dapat', 'tandem', 'pemain', 'yang', 'pas', 'eksperimen', 'enggak', 'jelas', 'lagi', 'mas', 'morim', 'mas', 'morim']"
sudah kubilang kalo pemain mu itu lagi bagus sbnerbya bukan pemainnya yang bagus tapi lawannya yang lagi jelek,"['sudah', 'kubilang', 'kalo', 'pemain', 'mu', 'itu', 'lagi', 'bagus', 'sbnerbya', 'bukan', 'pemainnya', 'yang', 'bagus', 'tapi', 'lawannya', 'yang', 'lagi', 'jelek']"
biasanya alumni emyu sukses di itali darmian alexis lukaku young smalling,"['biasanya', 'alumni', 'emyu', 'sukses', 'di', 'itali', 'darmian', 'alexis', 'lukaku', 'young', 'smalling']"
untung enggak ada var,"['untung', 'enggak', 'ada', 'var']"
yora sports,"['yora', 'sports']"
mood kaca balau habis ntn mu pengaruh enggak baik buat kesehatan dan kedamaian keluarga,"['mood', 'kaca', 'balau', 'habis', 'ntn', 'mu', 'pengaruh', 'enggak', 'baik', 'buat', 'kesehatan', 'dan', 'kedamaian', 'keluarga']"
rashford pun tak guna,"['rashford', 'pun', 'tak', 'guna']"
kemarin mainoo dimainin didepan bisa bagus pas dimainin diepl ternyata kocak lagi pemainya mau pep pun ngelatih emyu kalo pemainny kocak enggak bakal kemana,"['kemarin', 'mainoo', 'dimainin', 'didepan', 'bisa', 'bagus', 'pas', 'dimainin', 'diepl', 'ternyata', 'kocak', 'lagi', 'pemainya', 'mau', 'pep', 'pun', 'ngelatih', 'emyu', 'kalo', 'pemainny', 'kocak', 'enggak', 'bakal', 'kemana']"
style penalty licha gila cool banget,"['style', 'penalty', 'licha', 'gila', 'cool', 'banget']"
surem anjir yang cederaancur deh cedera apa arisan itu,"['surem', 'anjir', 'yang', 'cederaancur', 'deh', 'cedera', 'apa', 'arisan', 'itu']"
amorim ngebangun mu jadi tim yang fun buat ditonton lagi bukan sekadar parkir bus atau bola mati doang,"['amorim', 'ngebangun', 'mu', 'jadi', 'tim', 'yang', 'fun', 'buat', 'ditonton', 'lagi', 'bukan', 'sekadar', 'parkir', 'bus', 'atau', 'bola', 'mati', 'doang']"
senang lihat pemain muda dapat kesempatan di era amorim ini yang kita butuhkan,"['senang', 'lihat', 'pemain', 'muda', 'dapat', 'kesempatan', 'di', 'era', 'amorim', 'ini', 'yang', 'kita', 'butuhkan']"
sudah bukan salah pelatih bwangg memang emyu yang bapuk,"['sudah', 'bukan', 'salah', 'pelatih', 'bwangg', 'memang', 'emyu', 'yang', 'bapuk']"
ten hag berhasil membawa tim lebih dekat dengan identitas bermain yang jelas namun di pertandingan besar masih terlihat kekurangan mental,"['ten', 'hag', 'berhasil', 'membawa', 'tim', 'lebih', 'dekat', 'dengan', 'identitas', 'bermain', 'yang', 'jelas', 'namun', 'di', 'pertandingan', 'besar', 'masih', 'terlihat', 'kekurangan', 'mental']"
ini yang salah dari mu pelatih apa pemain,"['ini', 'yang', 'salah', 'dari', 'mu', 'pelatih', 'apa', 'pemain']"
yang benar baru match sudah kali kalah nih pak ten hag,"['yang', 'benar', 'baru', 'match', 'sudah', 'kali', 'kalah', 'nih', 'pak', 'ten', 'hag']"
bacot,['bacot']
menonton final fa enggak,"['menonton', 'final', 'fa', 'enggak']"
seengganya lah menang bang,"['seengganya', 'lah', 'menang', 'bang']"
itu mah enggak sengaja sih enggak ada niat buat nyentuh dari dia juga,"['itu', 'mah', 'enggak', 'sengaja', 'sih', 'enggak', 'ada', 'niat', 'buat', 'nyentuh', 'dari', 'dia', 'juga']"
fcsb garis kerasnya,"['fcsb', 'garis', 'kerasnya']"
nyusahin amat mending pindah saja,"['nyusahin', 'amat', 'mending', 'pindah', 'saja']"
dia melakukan tugas striker masuk kesana plus deh dalam keadaan meluncur bang susah pastinya mikir n ngendaliin anggota badan dalam sepersekian detik benar unlucky kalo striker gedebog pisang mungkin dia cuma diam di dekat titik pinalti,"['dia', 'melakukan', 'tugas', 'striker', 'masuk', 'kesana', 'plus', 'deh', 'dalam', 'keadaan', 'meluncur', 'bang', 'susah', 'pastinya', 'mikir', 'n', 'ngendaliin', 'anggota', 'badan', 'dalam', 'sepersekian', 'detik', 'benar', 'unlucky', 'kalo', 'striker', 'gedebog', 'pisang', 'mungkin', 'dia', 'cuma', 'diam', 'di', 'dekat', 'titik', 'pinalti']"
apasii nih kiperr bab,"['apasii', 'nih', 'kiperr', 'bab']"
ganti pelatihnya dulu terus kalo sudah dapat pelatih baru yang pintar pasti rashford sama casemiro di jual simpel kan enggak banyak ribet,"['ganti', 'pelatihnya', 'dulu', 'terus', 'kalo', 'sudah', 'dapat', 'pelatih', 'baru', 'yang', 'pintar', 'pasti', 'rashford', 'sama', 'casemiro', 'di', 'jual', 'simpel', 'kan', 'enggak', 'banyak', 'ribet']"
hahaha siap sih paling enggak fomo,"['hahaha', 'siap', 'sih', 'paling', 'enggak', 'fomo']"
kalo lu objektif secara permainan match ini sudah bagus cuma error pemainnya masih belum berubah ada saja momen miss yang berujung gol atau enggak gol,"['kalo', 'lu', 'objektif', 'secara', 'permainan', 'match', 'ini', 'sudah', 'bagus', 'cuma', 'error', 'pemainnya', 'masih', 'belum', 'berubah', 'ada', 'saja', 'momen', 'miss', 'yang', 'berujung', 'gol', 'atau', 'enggak', 'gol']"
biarin saja bang wkwk capek sendiri mereka jelas squadnya kagak jelas makanya amorim masih coba terus musim ini di pl kayaknya ngincer enggak degradasi saja ngandelin uel sama fa doang,"['biarin', 'saja', 'bang', 'wkwk', 'capek', 'sendiri', 'mereka', 'jelas', 'squadnya', 'kagak', 'jelas', 'makanya', 'amorim', 'masih', 'coba', 'terus', 'musim', 'ini', 'di', 'pl', 'kayaknya', 'ngincer', 'enggak', 'degradasi', 'saja', 'ngandelin', 'uel', 'sama', 'fa', 'doang']"
siapa yang baru main di epl bagus,"['siapa', 'yang', 'baru', 'main', 'di', 'epl', 'bagus']"
rashford memang striker kocak juga nih,"['rashford', 'memang', 'striker', 'kocak', 'juga', 'nih']"
lemah wkwkw,"['lemah', 'wkwkw']"
nah kan hidup mainnya,"['nah', 'kan', 'hidup', 'mainnya']"
kalo fan asli sono mah yang di desak bukan pelatih tapi glazers family,"['kalo', 'fan', 'asli', 'sono', 'mah', 'yang', 'di', 'desak', 'bukan', 'pelatih', 'tapi', 'glazers', 'family']"
tiap tahun sekali gacornya setengah musim doang wkwkwk,"['tiap', 'tahun', 'sekali', 'gacornya', 'setengah', 'musim', 'doang', 'wkwkwk']"
pemain kita harus mulai menonton tutorial youtube cara passing yang benar,"['pemain', 'kita', 'harus', 'mulai', 'menonton', 'tutorial', 'youtube', 'cara', 'passing', 'yang', 'benar']"
lawak terlucu abad ini,"['lawak', 'terlucu', 'abad', 'ini']"
amorim sudah membuat kemajuan besar di sektor pertahanan tetapi serangan balik sering kali tidak cukup tajam untuk memanfaatkan peluang,"['amorim', 'sudah', 'membuat', 'kemajuan', 'besar', 'di', 'sektor', 'pertahanan', 'tetapi', 'serangan', 'balik', 'sering', 'kali', 'tidak', 'cukup', 'tajam', 'untuk', 'memanfaatkan', 'peluang']"
dan hebatnya selalu dipasang sama eth,"['dan', 'hebatnya', 'selalu', 'dipasang', 'sama', 'eth']"
pengin main di uel saja,"['pengin', 'main', 'di', 'uel', 'saja']"
gua bodo amat lah kalah yang jelas wajib minimal thropy akhir musim,"['gua', 'bodo', 'amat', 'lah', 'kalah', 'yang', 'jelas', 'wajib', 'minimal', 'thropy', 'akhir', 'musim']"
kapan lagi dapat pemain tapi kalo ke juve oke lah barter sama chiesa mah,"['kapan', 'lagi', 'dapat', 'pemain', 'tapi', 'kalo', 'ke', 'juve', 'oke', 'lah', 'barter', 'sama', 'chiesa', 'mah']"
memang enggak adagaji juga turun jauh,"['memang', 'enggak', 'adagaji', 'juga', 'turun', 'jauh']"
astaghfirullah baru babak pertama padahal di akun bola sudah sibuk ini itulah,"['astaghfirullah', 'baru', 'babak', 'pertama', 'padahal', 'di', 'akun', 'bola', 'sudah', 'sibuk', 'ini', 'itulah']"
makanya itu gua juga bingung ini raspot main mulu cadangin kayak ganti garnacho kiri ini malah sih amad gua juga gedeg dibela karena mental lawan team gede lebih ok haduhh ampun,"['makanya', 'itu', 'gua', 'juga', 'bingung', 'ini', 'raspot', 'main', 'mulu', 'cadangin', 'kayak', 'ganti', 'garnacho', 'kiri', 'ini', 'malah', 'sih', 'amad', 'gua', 'juga', 'gedeg', 'dibela', 'karena', 'mental', 'lawan', 'team', 'gede', 'lebih', 'ok', 'haduhh', 'ampun']"
tampil solid di babak pertama tapi babak kedua mulai kehilangan fokus harus lebih fokus di pertandingan selanjutnya,"['tampil', 'solid', 'di', 'babak', 'pertama', 'tapi', 'babak', 'kedua', 'mulai', 'kehilangan', 'fokus', 'harus', 'lebih', 'fokus', 'di', 'pertandingan', 'selanjutnya']"
var enggak guna anjir,"['var', 'enggak', 'guna', 'anjir']"
baru dua match tenang saja lagian pemain baru juga butuh waktu buat adaptasi,"['baru', 'dua', 'match', 'tenang', 'saja', 'lagian', 'pemain', 'baru', 'juga', 'butuh', 'waktu', 'buat', 'adaptasi']"
elsilahkan,['elsilahkan']
rashford pun tak guna,"['rashford', 'pun', 'tak', 'guna']"
momen fa cup,"['momen', 'fa', 'cup']"
bukan sejauh ini sudah dari akhir musim dia main buruk bro di kata dia main jelek karena ada cr lah cr keluar sempat naik tapi sisanya amburadul bro,"['bukan', 'sejauh', 'ini', 'sudah', 'dari', 'akhir', 'musim', 'dia', 'main', 'buruk', 'bro', 'di', 'kata', 'dia', 'main', 'jelek', 'karena', 'ada', 'cr', 'lah', 'cr', 'keluar', 'sempat', 'naik', 'tapi', 'sisanya', 'amburadul', 'bro']"
ada saja sial nya,"['ada', 'saja', 'sial', 'nya']"
ini pelatih memang kebanyakan bacot tong kosong bunyinya memang nyaring deh,"['ini', 'pelatih', 'memang', 'kebanyakan', 'bacot', 'tong', 'kosong', 'bunyinya', 'memang', 'nyaring', 'deh']"
pertandingan ini memperlihatkan dominasi kita tetapi brighton tetap memberi tekanan yang perlu kita waspadai ke depannya,"['pertandingan', 'ini', 'memperlihatkan', 'dominasi', 'kita', 'tetapi', 'brighton', 'tetap', 'memberi', 'tekanan', 'yang', 'perlu', 'kita', 'waspadai', 'ke', 'depannya']"
mu menang tapi kalau kita enggak perbaiki pertahanan bisa bahaya di lagalaga selanjutnya,"['mu', 'menang', 'tapi', 'kalau', 'kita', 'enggak', 'perbaiki', 'pertahanan', 'bisa', 'bahaya', 'di', 'lagalaga', 'selanjutnya']"
taktik tolol ini kenapa sih enggak pakai saja heran deh eth trllu memaksakan mount tapi enggak mau cadangin bruno,"['taktik', 'tolol', 'ini', 'kenapa', 'sih', 'enggak', 'pakai', 'saja', 'heran', 'deh', 'eth', 'trllu', 'memaksakan', 'mount', 'tapi', 'enggak', 'mau', 'cadangin', 'bruno']"
ft win,"['ft', 'win']"
mungkin saja kena flu enggak melulu soal cedera,"['mungkin', 'saja', 'kena', 'flu', 'enggak', 'melulu', 'soal', 'cedera']"
stok pelatih top minim di eropa sekarang ya semoga saja eth bisa nemu pakem yang pas setelah kekalahan kemarin harusnya sudah enggak coba lagi sih terlebih cuma beberapa pemain saja yang cedera,"['stok', 'pelatih', 'top', 'minim', 'di', 'eropa', 'sekarang', 'ya', 'semoga', 'saja', 'eth', 'bisa', 'nemu', 'pakem', 'yang', 'pas', 'setelah', 'kekalahan', 'kemarin', 'harusnya', 'sudah', 'enggak', 'coba', 'lagi', 'sih', 'terlebih', 'cuma', 'beberapa', 'pemain', 'saja', 'yang', 'cedera']"
saya rasa ruben amorim sudah menunjukkan perubahan yang positif meskipun hasilnya imbang saya optimis mu akan lebih baik ke depannya,"['saya', 'rasa', 'ruben', 'amorim', 'sudah', 'menunjukkan', 'perubahan', 'yang', 'positif', 'meskipun', 'hasilnya', 'imbang', 'saya', 'optimis', 'mu', 'akan', 'lebih', 'baik', 'ke', 'depannya']"
kenapa kagak casemiro yang di ganti malah bruno,"['kenapa', 'kagak', 'casemiro', 'yang', 'di', 'ganti', 'malah', 'bruno']"
bayindir bisa nih geser onane,"['bayindir', 'bisa', 'nih', 'geser', 'onane']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
hasil imbang di laga pertama sedikit mengecewakan tapi saya bisa melihat semangat baru dalam permainan mu di bawah ruben amorim,"['hasil', 'imbang', 'di', 'laga', 'pertama', 'sedikit', 'mengecewakan', 'tapi', 'saya', 'bisa', 'melihat', 'semangat', 'baru', 'dalam', 'permainan', 'mu', 'di', 'bawah', 'ruben', 'amorim']"
kebanyakan pegang bola sekali di serang gol parah,"['kebanyakan', 'pegang', 'bola', 'sekali', 'di', 'serang', 'gol', 'parah']"
kamu keren onana enggak pernah becus nangkap penalti,"['kamu', 'keren', 'onana', 'enggak', 'pernah', 'becus', 'nangkap', 'penalti']"
pokoknya jual dulu sih rasford sudah capek kali lihat dia main ke begitu mulu,"['pokoknya', 'jual', 'dulu', 'sih', 'rasford', 'sudah', 'capek', 'kali', 'lihat', 'dia', 'main', 'ke', 'begitu', 'mulu']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
mainnya tenang dan rapi senang banget nontonnya,"['mainnya', 'tenang', 'dan', 'rapi', 'senang', 'banget', 'nontonnya']"
sudah dari musim kemarin perform rashford ini turun bgtcuma mungkin karena pemain lokal yang harus di utamain jadi ten hag juga enggak bisa nolak buat enggak mainin dia kayanya,"['sudah', 'dari', 'musim', 'kemarin', 'perform', 'rashford', 'ini', 'turun', 'bgtcuma', 'mungkin', 'karena', 'pemain', 'lokal', 'yang', 'harus', 'di', 'utamain', 'jadi', 'ten', 'hag', 'juga', 'enggak', 'bisa', 'nolak', 'buat', 'enggak', 'mainin', 'dia', 'kayanya']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
defender kita lemot parah kalah sprint sama kakekkakek,"['defender', 'kita', 'lemot', 'parah', 'kalah', 'sprint', 'sama', 'kakekkakek']"
eriksen enggak bisa pressing,"['eriksen', 'enggak', 'bisa', 'pressing']"
saya senang melihat bruno fernandes tampil lebih dominan di lini tengah meskipun hasilnya imbang saya optimis dengan masa depan mu di bawah ruben amorim,"['saya', 'senang', 'melihat', 'bruno', 'fernandes', 'tampil', 'lebih', 'dominan', 'di', 'lini', 'tengah', 'meskipun', 'hasilnya', 'imbang', 'saya', 'optimis', 'dengan', 'masa', 'depan', 'mu', 'di', 'bawah', 'ruben', 'amorim']"
ruben amorim membawa filosofi permainan yang menarik meskipun imbang saya berharap dia bisa segera membuat mu lebih kompetitif,"['ruben', 'amorim', 'membawa', 'filosofi', 'permainan', 'yang', 'menarik', 'meskipun', 'imbang', 'saya', 'berharap', 'dia', 'bisa', 'segera', 'membuat', 'mu', 'lebih', 'kompetitif']"
pendukung itu apa bang aku fan emyu pokok nya yang enggak sumbu pendek dan tetap objektif lihat kondisi dalam dan luar lapangan,"['pendukung', 'itu', 'apa', 'bang', 'aku', 'fan', 'emyu', 'pokok', 'nya', 'yang', 'enggak', 'sumbu', 'pendek', 'dan', 'tetap', 'objektif', 'lihat', 'kondisi', 'dalam', 'dan', 'luar', 'lapangan']"
hojlund makin tajam tapi jika defense enggak diperbaiki mu enggak akan jauh kemenangan masih belum cukup,"['hojlund', 'makin', 'tajam', 'tapi', 'jika', 'defense', 'enggak', 'diperbaiki', 'mu', 'enggak', 'akan', 'jauh', 'kemenangan', 'masih', 'belum', 'cukup']"
antony tuker mudryk saja,"['antony', 'tuker', 'mudryk', 'saja']"
gila seru banget pertandingan kali ini ayo terus berjuang,"['gila', 'seru', 'banget', 'pertandingan', 'kali', 'ini', 'ayo', 'terus', 'berjuang']"
di bawah amorim tim lebih solid secara keseluruhan meski ketajaman di depan gawang perlu ditingkatkan,"['di', 'bawah', 'amorim', 'tim', 'lebih', 'solid', 'secara', 'keseluruhan', 'meski', 'ketajaman', 'di', 'depan', 'gawang', 'perlu', 'ditingkatkan']"
maksud dia pemain brighton sudah berada dibelakang bola semua,"['maksud', 'dia', 'pemain', 'brighton', 'sudah', 'berada', 'dibelakang', 'bola', 'semua']"
martial jilid,"['martial', 'jilid']"
ya seperti biasa setelah ini lihat rashford beraksi buat villa dengan sentuhan magic nyaseperti pemain mu lainnya yang terbuang,"['ya', 'seperti', 'biasa', 'setelah', 'ini', 'lihat', 'rashford', 'beraksi', 'buat', 'villa', 'dengan', 'sentuhan', 'magic', 'nyaseperti', 'pemain', 'mu', 'lainnya', 'yang', 'terbuang']"
midfield kita sampah enggak bisa ngontrol tempo umpan mengaco semua,"['midfield', 'kita', 'sampah', 'enggak', 'bisa', 'ngontrol', 'tempo', 'umpan', 'mengaco', 'semua']"
skema serangan balik amorim lebih efektif pemain lebih cepat mengambil keputusan,"['skema', 'serangan', 'balik', 'amorim', 'lebih', 'efektif', 'pemain', 'lebih', 'cepat', 'mengambil', 'keputusan']"
nah forest sering loh main bek match terakhir menang juga pakai formasi itu,"['nah', 'forest', 'sering', 'loh', 'main', 'bek', 'match', 'terakhir', 'menang', 'juga', 'pakai', 'formasi', 'itu']"
rasford onana akan selalu jadi starter main full minta sampai akhir musim tak terkecuali mau main nya jelek sir ten hag nih bos kepala batu,"['rasford', 'onana', 'akan', 'selalu', 'jadi', 'starter', 'main', 'full', 'minta', 'sampai', 'akhir', 'musim', 'tak', 'terkecuali', 'mau', 'main', 'nya', 'jelek', 'sir', 'ten', 'hag', 'nih', 'bos', 'kepala', 'batu']"
mungkin karena ini sih jadi emyu menambah m saja,"['mungkin', 'karena', 'ini', 'sih', 'jadi', 'emyu', 'menambah', 'm', 'saja']"
tim medis nya dipertanyakan,"['tim', 'medis', 'nya', 'dipertanyakan']"
peluang yang terbuang sangat disayangkan harus lebih efektif,"['peluang', 'yang', 'terbuang', 'sangat', 'disayangkan', 'harus', 'lebih', 'efektif']"
sabar min masih ada lagi kekalahan demi kekalahan selanjutnya kalau kita ingin tsunami trophy main game saja,"['sabar', 'min', 'masih', 'ada', 'lagi', 'kekalahan', 'demi', 'kekalahan', 'selanjutnya', 'kalau', 'kita', 'ingin', 'tsunami', 'trophy', 'main', 'game', 'saja']"
jam berapa main nya bang,"['jam', 'berapa', 'main', 'nya', 'bang']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
piala fa enggak ada var ya sepertinya goal maguire offside,"['piala', 'fa', 'enggak', 'ada', 'var', 'ya', 'sepertinya', 'goal', 'maguire', 'offside']"
mu harus segera cari bek tengah baru terlalu mudah ditembus lawan,"['mu', 'harus', 'segera', 'cari', 'bek', 'tengah', 'baru', 'terlalu', 'mudah', 'ditembus', 'lawan']"
fit tapi tll,"['fit', 'tapi', 'tll']"
permainan lebih terorganisir di bawah ruben amorim meskipun tim belum tampil maksimal saya melihat banyak potensi dalam tim ini,"['permainan', 'lebih', 'terorganisir', 'di', 'bawah', 'ruben', 'amorim', 'meskipun', 'tim', 'belum', 'tampil', 'maksimal', 'saya', 'melihat', 'banyak', 'potensi', 'dalam', 'tim', 'ini']"
maulana jangankan mau menyaingi pep untuk level arteta saja enggak akan mampu,"['maulana', 'jangankan', 'mau', 'menyaingi', 'pep', 'untuk', 'level', 'arteta', 'saja', 'enggak', 'akan', 'mampu']"
siap coach indraa nanti ingatkan lagi saja ya mungkin manajemen nya lupa,"['siap', 'coach', 'indraa', 'nanti', 'ingatkan', 'lagi', 'saja', 'ya', 'mungkin', 'manajemen', 'nya', 'lupa']"
reflex onana sangat bagus itu gol pertama bengong doang,"['reflex', 'onana', 'sangat', 'bagus', 'itu', 'gol', 'pertama', 'bengong', 'doang']"
lah dulu beli pemain bintang mahal juga bapuk,"['lah', 'dulu', 'beli', 'pemain', 'bintang', 'mahal', 'juga', 'bapuk']"
nah ini yang jadi pertanyakan juga kenapa kemarin mainin sih raspot ya,"['nah', 'ini', 'yang', 'jadi', 'pertanyakan', 'juga', 'kenapa', 'kemarin', 'mainin', 'sih', 'raspot', 'ya']"
ugarte dm maino cuma bruno amf lwf garnacho rwf amad cf hojlund,"['ugarte', 'dm', 'maino', 'cuma', 'bruno', 'amf', 'lwf', 'garnacho', 'rwf', 'amad', 'cf', 'hojlund']"
pelatih enggak jelas banyak omong hasil,"['pelatih', 'enggak', 'jelas', 'banyak', 'omong', 'hasil']"
nah yang heran tuh begitu padahal brighton prlatih baru tapi permainan enak,"['nah', 'yang', 'heran', 'tuh', 'begitu', 'padahal', 'brighton', 'prlatih', 'baru', 'tapi', 'permainan', 'enak']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
iyayang rugi ed yang untung ineos,"['iyayang', 'rugi', 'ed', 'yang', 'untung', 'ineos']"
disini gue enggak bela onana ya tapi tadi yang salah maguire malah fokus ke bola enggak lihat pergerakan welbeck,"['disini', 'gue', 'enggak', 'bela', 'onana', 'ya', 'tapi', 'tadi', 'yang', 'salah', 'maguire', 'malah', 'fokus', 'ke', 'bola', 'enggak', 'lihat', 'pergerakan', 'welbeck']"
mainnya lumayan enggak terlalu buruk tapi juga enggak spesial,"['mainnya', 'lumayan', 'enggak', 'terlalu', 'buruk', 'tapi', 'juga', 'enggak', 'spesial']"
botak memang beda pemain pengganti kocak semua,"['botak', 'memang', 'beda', 'pemain', 'pengganti', 'kocak', 'semua']"
pertandingan seru tapi tim harus lebih konsisten kalau mau menang terus,"['pertandingan', 'seru', 'tapi', 'tim', 'harus', 'lebih', 'konsisten', 'kalau', 'mau', 'menang', 'terus']"
betul bro yang penting menang saja sudah alhamdulillah,"['betul', 'bro', 'yang', 'penting', 'menang', 'saja', 'sudah', 'alhamdulillah']"
dc dalam bersepak bola juga butuh pemain pembawa keberuntungandulu puzzle saf adala eric cantonanomer enggak layak buat mountkalau enggak suruh dia ganti no punggung,"['dc', 'dalam', 'bersepak', 'bola', 'juga', 'butuh', 'pemain', 'pembawa', 'keberuntungandulu', 'puzzle', 'saf', 'adala', 'eric', 'cantonanomer', 'enggak', 'layak', 'buat', 'mountkalau', 'enggak', 'suruh', 'dia', 'ganti', 'no', 'punggung']"
