Comment Text,Cleaned Comment,Sentiment,preprocessing_comment
Amorim tambah Mumet. Fans EmYu tambah Lebih Sabar,amorim tambah mumet fans emyu tambah lebih sabar,positif,amorim mumet fan emyu sabar
Oi Oi Oi.....,oi oi oi,netral,oi oi oi
"@bobbymulyana307 malah bahas raspot, itu diatas gua juha udah gedek kenapa raspot maen mulu, baru aja dibahas hadehh itu udah lain cerita lain. ampun dehh",malah bahas raspot itu diatas gua juha udah gedek kenapa raspot maen mulu baru aja dibahas hadehh itu udah lain cerita lain ampun dehh,negatif,bahas raspot diatas gua juha gedek raspot main mulu bahas hadehh cerita ampun deh
waduh chilwell siap bpjs,waduh chilwell siap bpjs,netral,chilwell bpjs
@reyhndk_ gaada betul mas memang ngabisin duit banyak tapi tentang 'gaada peningkatan' ane kurang se7,gaada betul mas memang ngabisin duit banyak tapi tentang gaada peningkatan ane kurang se,negatif,mas ngabisin duit tingkat ane se
Amorim jenius! Akhirnya tim ini punya pelatih dengan otak sepak bola sejati!,amorim jenius akhirnya tim ini punya pelatih dengan otak sepak bola sejati,positif,amorim jenius tim latih otak sepak bola sejati
Harusnya Rashford lebih sering dicadangkan dulu biar dia termotivasi.,harusnya rashford lebih sering dicadangkan dulu biar dia termotivasi,netral,rashford cadang biar motivasi
"Amorim mulai tunjukkan potensi besar, tapi pertahanan kita masih kurang rapat. Semoga segera diperbaiki!",amorim mulai tunjukkan potensi besar tapi pertahanan kita masih kurang rapat semoga segera diperbaiki,negatif,amorim tunjukkan potensi tahan rapat moga diperbaiki
"betul, kadang kerasukan zidane kayanya. Tapi kalo dari gaya bermain kayanya emang dia kurang kalo di epl yang biasa pake fast tempo. Kalo ke itali gacor sih gak terlalu kaget juga",betul kadang kerasukan zidane kayanya tapi kalo dari gaya bermain kayanya emang dia kurang kalo di epl yang biasa pake fast tempo kalo ke itali gacor sih gak terlalu kaget juga,positif,kadang rasuk zidane kaya kalo gaya main kaya kalo di epl pakai fast tempo kalo ke itali gacor sih kaget
"Serangan balik MU bagus, tapi pertahanannya juga harus kuat.",serangan balik mu bagus tapi pertahanannya juga harus kuat,positif,serang mu bagus tahan kuat
Stay semusim lagi,stay semusim lagi,positif,stay musim
"Build-up play lebih variatif, tidak monoton seperti dulu.",buildup play lebih variatif tidak monoton seperti dulu,positif,buildup play variatif monoton
@hellof46_ lah laya tp fans mana peduli yg bisa di desak ya pelatih kalo emg niatnya nyelamatin MU kenapa kemaren dari arab di tolak dah itu aja,lah laya tp fans mana peduli yg bisa di desak ya pelatih kalo emg niatnya nyelamatin mu kenapa kemaren dari arab di tolak dah itu aja,negatif,laya fan peduli di desak ya latih kalo niat nyelamatin mu kemarin arab di tolak deh
"Degradasi dia,dngan pemain satu kelurahan nya",degradasi diadngan pemain satu kelurahan nya,negatif,degradasi diadngan main lurah nya
"Amorim bawa MU main seperti tim juara, Ten Hag cuma bisa parkir bus. Viva Amorim!",amorim bawa mu main seperti tim juara ten hag cuma bisa parkir bus viva amorim,netral,amorim bawa mu main tim juara ten hag parkir bus viva amorim
@hendycendol_ terus siapa yg pantes gantiin bang menurut lu ?,terus siapa yg pantes gantiin bang menurut lu,negatif,gantiin bang lu
Tiap musim gini trus,tiap musim gini trus,netral,musim
@novalmfaisal dah biasa dikecewakan yaï£¿Ã¼Â§Â£ï£¿Ã¼Â§Â£ï£¿Ã¼Â§Â£ bawa santai aja daripada bisa stressï£¿Ã¼Â§Â£ï£¿Ã¼Â§Â£,dah biasa dikecewakan ya bawa santai aja daripada bisa stress,negatif,deh kecewa ya bawa santai stres
Garnacho ï£¿Ã¼Ã«Ã§ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã­â¢,garnacho tm,netral,garnacho tm
"biasanya alumni emyu sukses di itali, darmian, Alexis, lukaku, young, smalling",biasanya alumni emyu sukses di itali darmian alexis lukaku young smalling,netral,alumni emyu sukses di itali darmian alexis luka young smalling
unluckyï£¿Ã¼Ã­Ã®,unlucky,negatif,unlucky
@maulanapetzl_23 gni lah contoh org pemain nya yg slh pelatih yg d slhkn,gni lah contoh org pemain nya yg slh pelatih yg d slhkn,netral,contoh orang main nya salah latih di slhkn
"Tetep aja Rashford main fulltime, yg diganti Amad ï£¿Ã¼Ã²Ã",tetep aja rashford main fulltime yg diganti amad,netral,rashford main fulltime ganti amad
"Diliat liat egonya amorim 11/12 sama si botak, dia ga mikir apa ya kalo kedalaman skuadnya tuh tipis bgt, orang mah nanti aja kek pas akhir musim biar sekalian cuci gudang",diliat liat egonya amorim sama si botak dia ga mikir apa ya kalo kedalaman skuadnya tuh tipis bgt orang mah nanti aja kek pas akhir musim biar sekalian cuci gudang,negatif,lihat ego amorim sih botak mikir ya kalo kedalaman skuadnya tuh tipis banget orang mah kayak pas musim biar cuci gudang
"Chemistry tim butuh waktu, tapi arah permainan sudah lebih jelas.",chemistry tim butuh waktu tapi arah permainan sudah lebih jelas,netral,chemistry tim butuh arah main
"Amorim kasih tim lebih stabil, tapi saya khawatir kalau defense masih bikin kesalahan. 4-0, tapi pertahanan harus diperbaiki.",amorim kasih tim lebih stabil tapi saya khawatir kalau defense masih bikin kesalahan tapi pertahanan harus diperbaiki,negatif,amorim kasih tim stabil khawatir defense bikin salah tahan diperbaiki
"ganti kiper, gol kedua bola cuman jarak segitu gabisa di save",ganti kiper gol kedua bola cuman jarak segitu gabisa di save,negatif,ganti kiper gol bola cuman jarak segitu di save
hadeh semoga gak ngelawak ya onana,hadeh semoga gak ngelawak ya onana,negatif,hadeh moga ngelawak ya onana
Anthony malah dipinjemin,anthony malah dipinjemin,negatif,anthony dipinjemin
@jendry.albert gimana gk tumpul. Suplai bola ke mereka saja tidak ada. Yg Lebih lawaknya. Seorang striker mesti jemput bola dari bawah ke depan. Dari situ aja uda gk logis,albert gimana gk tumpul suplai bola ke mereka saja tidak ada yg lebih lawaknya seorang striker mesti jemput bola dari bawah ke depan dari situ aja uda gk logis,negatif,albert tumpul suplai bola ke lawak striker mesti jemput bola ke situ logis
"Amorim mulai tunjukin perubahan, dominasi bola lebih rapi tapi masih agak rapuh di belakang. Semoga bisa diperbaiki.",amorim mulai tunjukin perubahan dominasi bola lebih rapi tapi masih agak rapuh di belakang semoga bisa diperbaiki,negatif,amorim tunjukin ubah dominasi bola rapi rapuh di moga diperbaiki
martial 0.2,martial,positif,martial
"Kekalahan 1-2 yang mengecewakan! Tim sangat buruk, pertahanan gagal total! Amorim harus segera cari solusi.",kekalahan yang mengecewakan tim sangat buruk pertahanan gagal total amorim harus segera cari solusi,negatif,kalah kecewa tim buruk tahan gagal total amorim cari solusi
gimana ceritanya beli de light cuma buat pelapis maguire ngango,gimana ceritanya beli de light cuma buat pelapis maguire ngango,negatif,cerita beli deh light lap maguire ngango
"@rezadisap wajar ngab, orang gak pernah dikasih menit bermain yang layakï£¿Ã¼Ã²Ã, beda dengan Onani,, starter terus, planga-plongo iyaa ï£¿Ã¼Ã²Ã. Logikanya gini, ente sering main PS bola lawan orang yang jarang maen PS bola bakal menang mana?",wajar ngab orang gak pernah dikasih menit bermain yang layak beda dengan onani starter terus plangaplongo iyaa logikanya gini ente sering main ps bola lawan orang yang jarang maen ps bola bakal menang mana,positif,wajar ngab orang kasih menit main layak beda onani starter plangaplongo iya logika ente main pas bola lawan orang jarang main pas bola menang
@irfansyahidi bro ga liat match pertama se op apa Maguire?,bro ga liat match pertama se op apa maguire,negatif,bro lihat match se op maguire
"Ada striker malah mainin tanpa striker, kdang strategi ten hag ni bagong",ada striker malah mainin tanpa striker kdang strategi ten hag ni bagong,negatif,striker mainin striker kadang strategi ten hag bagong
@agungbudifitrah tp presingnya raspod jelek,tp presingnya raspod jelek,negatif,presingnya raspod jelek
"Permainan tim terlihat lebih terorganisir, meskipun hanya hasil imbang, saya melihat ada semangat baru yang ditunjukkan pemain.",permainan tim terlihat lebih terorganisir meskipun hanya hasil imbang saya melihat ada semangat baru yang ditunjukkan pemain,positif,main tim organisir hasil imbang semangat main
"asli mana ngeselin banget tuh orang, segala peluk manja ke king harry",asli mana ngeselin banget tuh orang segala peluk manja ke king harry,negatif,asli kesal banget tuh orang peluk manja ke king harry
"Laga kedua memperlihatkan perbaikan dalam pertahanan, namun Rashford harus lebih sering menembak untuk mendapatkan gol.",laga kedua memperlihatkan perbaikan dalam pertahanan namun rashford harus lebih sering menembak untuk mendapatkan gol,netral,laga perbaikan tahan rashford tembak gol
Fit tapi planga plongo,fit tapi planga plongo,netral,fit planga plongo
"Saya percaya dengan filosofi Ruben Amorim, Bruno Fernandes semakin kreatif, namun lini serang masih perlu lebih banyak peluang di depan gawang.",saya percaya dengan filosofi ruben amorim bruno fernandes semakin kreatif namun lini serang masih perlu lebih banyak peluang di depan gawang,positif,percaya filosofi ruben amorim bruno fernandes kreatif lini serang peluang di gawang
Pake MU u23 udah,pake mu u udah,netral,pakai mu lu
share jadwanya emyu dong bang,share jadwanya emyu dong bang,netral,share jadwanya emyu bang
"gol brigthton kek gak goal anjir , penontonnya aja ngga ngeh kalo itu goal , and ni match kek nonton tenis sunyi bngt kalo tengah malem maennya ketiduran kali gue ï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ã",gol brigthton kek gak goal anjir penontonnya aja ngga ngeh kalo itu goal and ni match kek nonton tenis sunyi bngt kalo tengah malem maennya ketiduran kali gue,positif,gol brigthton kayak goal anjir tonton engah kalo goal and match kayak tonton tenis sunyi banget kalo malem maennya tidur kali gue
Amorim lebih taktis dalam mengatur momentum pertandingan.,amorim lebih taktis dalam mengatur momentum pertandingan,positif,amorim taktis atur momentum tanding
"@ghufronafy barca lebih parah dri MU, di MU gaji tertinggi cuman 350k per minggu, di barca de Jong aja 700k per minggu, makanya dikurangin, itupun masih terlalu besar",barca lebih parah dri mu di mu gaji tertinggi cuman k per minggu di barca de jong aja k per minggu makanya dikurangin itupun masih terlalu besar,positif,barca parah mu di mu gaji tertinggi cuman ke minggu di barca deh jong ke minggu rangin itupun
Kemungkinan memasukkan mactominay si botakï£¿Ã¼Ã²Ã ï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ã,kemungkinan memasukkan mactominay si botak,netral,masuk mactominay sih botak
"Dulu ada yg bilang ""Selagi msih ada duet McFreed maka MU akan bgtu2 ajaï£¿Ã¼Ã²Ãskrg McFreed udah RiP di MU,ttep aja bgtu2 aja..So,,itu smua Omong Kosong belakaï£¿Ã¼Ã²Ã",dulu ada yg bilang selagi msih ada duet mcfreed maka mu akan bgtu aja skrg mcfreed udah rip di muttep aja bgtu ajasoitu smua omong kosong belaka,negatif,bilang selagi duet mcfreed mu mcfreed rip di muttep ajasoitu omong kosong belaka
"Ten Hag harus kasih instruksi lebih jelas ke pemain, sering keliatan bingung di lapangan.",ten hag harus kasih instruksi lebih jelas ke pemain sering keliatan bingung di lapangan,negatif,ten hag kasih instruksi ke main bingung di lapang
Hoki gada var wkwk,hoki gada var wkwk,negatif,hoki var wkwk
@awinggg.g sama mount juga,g sama mount juga,negatif,mount
di kutuk bully Liverpool puasa 30 tahun pdahal di kurun waktu itu ada dapet UCL  sekarang MU Giliran bakal puasa gelar dan gak akan dapat piala bergengsi apapun paling mentok ueropa league,di kutuk bully liverpool puasa tahun pdahal di kurun waktu itu ada dapet ucl sekarang mu giliran bakal puasa gelar dan gak akan dapat piala bergengsi apapun paling mentok ueropa league,negatif,di kutuk bully liverpool puasa di kurun ucl mu gilir puasa gelar piala gengsi apapun mentok ueropa league
Pemain bgs disia2in pelatih katrok,pemain bgs disiain pelatih katrok,negatif,main bagus disiain latih katrok
"Peluang MU untuk memenangkan liga semakin besar, semoga bisa terus berlanjut.",peluang mu untuk memenangkan liga semakin besar semoga bisa terus berlanjut,positif,peluang mu menang liga moga berlanjut
"Setuju, kalo engga rashford kunciin dikamar mandi dulu please bgt biar dia sadar diri seengaknyaï£¿Ã¼Ã²Ã",setuju kalo engga rashford kunciin dikamar mandi dulu please bgt biar dia sadar diri seengaknya,positif,tuju kalo rashford kunciin kamar mandi please banget biar sadar seengaknya
Pake MU u23 udah,pake mu u udah,netral,pakai mu lu
"@ahmadmbrkk si botak ksayangan kita ini, terinspirasi pas vs city yg garna supersub 1 gol bang, dicoba lagi ama dia",si botak ksayangan kita ini terinspirasi pas vs city yg garna supersub gol bang dicoba lagi ama dia,negatif,sih botak ksayangan inspirasi pas vs city garna supersub gol bang coba
@mjr__official menghibur diri mas ï£¿Ã¼Ã²Ã,menghibur diri mas,positif,hibur mas
Kemungkinan memasukkan mactominay si botakï£¿Ã¼Ã²Ã ï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ã,kemungkinan memasukkan mactominay si botak,netral,masuk mactominay sih botak
"Faktanya, Bacot Carragher lebih peduli daripada bacot legend emyu",faktanya bacot carragher lebih peduli daripada bacot legend emyu,negatif,fakta bacot carragher peduli bacot legend emyu
"Amorim bawa MU menang 4-0, tapi lini belakang masih rentan banget! Kita butuh soliditas di sana.",amorim bawa mu menang tapi lini belakang masih rentan banget kita butuh soliditas di sana,positif,amorim bawa mu menang lini rentan banget butuh soliditas di
"Ruben Amorim sudah menunjukkan tanda-tanda positif dalam laga pertama, meskipun hasilnya imbang, saya percaya dia bisa memperbaiki tim lebih baik.",ruben amorim sudah menunjukkan tandatanda positif dalam laga pertama meskipun hasilnya imbang saya percaya dia bisa memperbaiki tim lebih baik,positif,ruben amorim tandatanda positif laga hasil imbang percaya memperbaiki tim
Eksekutor pinalti terkahir punya arsenal siapa cokk??ï£¿Ã¼Ã«Âªï£¿Ã¼Ã«Âª,eksekutor pinalti terkahir punya arsenal siapa cokk a a,netral,eksekutor pinalti terkahir arsenal cokk a a
"Taktik tolol ini, knp sih gk pke 433 aja heran dah . Eth trllu memaksakan mount tapi gak mau cadangin bruno",taktik tolol ini knp sih gk pke aja heran dah eth trllu memaksakan mount tapi gak mau cadangin bruno,negatif,taktik tolol sih pakai heran deh eth trllu paksa mount cadangin bruno
Inpo ig wasit,inpo ig wasit,netral,inpo ig wasit
@fachmiaanss dari awal pada setuju lebih bagus dalot ketimbang awb liat tuh hbs nyerang selalu off position,dari awal pada setuju lebih bagus dalot ketimbang awb liat tuh hbs nyerang selalu off position,positif,tuju bagus dalot ketimbang awb lihat tuh habis serang off position
"kan kata gue lihat sampai akhir musim, baru percaya gak percaya. ini baru 2 match, elu sudah bisa rangkumin sampai match ke 36 atau 38 epl",kan kata gue lihat sampai akhir musim baru percaya gak percaya ini baru match elu sudah bisa rangkumin sampai match ke atau epl,positif,gue lihat musim percaya percaya match lu rangkumin match ke epl
Sudah kubilang zirkzee = martial v.2,sudah kubilang zirkzee martial v,netral,bilang zirkzee martial v
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral,jadwal main jam
"Laga kedua menunjukkan bahwa Ruben Amorim sudah mulai membuat perubahan dalam permainan tim, meskipun masih ada banyak ruang untuk perbaikan.",laga kedua menunjukkan bahwa ruben amorim sudah mulai membuat perubahan dalam permainan tim meskipun masih ada banyak ruang untuk perbaikan,netral,laga ruben amorim ubah main tim ruang perbaikan
@iamirulm alasannya apa sih ? Browsing2 ga nemu ..,alasannya apa sih browsing ga nemu,negatif,alas sih browsing nemu
"Klo sampe di terima, fix ineos habis memasak lgs mencret mencret",klo sampe di terima fix ineos habis memasak lgs mencret mencret,negatif,kalo di terima fix ineos habis masak langsung mencret mencret
"Ruben Amorim sudah mulai memperkenalkan permainan yang lebih menyerang, meskipun hanya imbang, saya rasa tim ini akan berkembang lebih baik.",ruben amorim sudah mulai memperkenalkan permainan yang lebih menyerang meskipun hanya imbang saya rasa tim ini akan berkembang lebih baik,positif,ruben amorim kenal main serang imbang tim kembang
Ruben Amorim menunjukkan bahwa dia punya visi yang jelas meskipun hasilnya imbang. Semoga tim bisa berkembang lebih baik di laga berikutnya.,ruben amorim menunjukkan bahwa dia punya visi yang jelas meskipun hasilnya imbang semoga tim bisa berkembang lebih baik di laga berikutnya,positif,ruben amorim visi hasil imbang moga tim kembang di laga
"@nurimanhdyt & ini masih pakek pemain yg ada, blm yg dia semua mau ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã«Ã¨",ini masih pakek pemain yg ada blm yg dia semua mau,netral,pakai main
"MU harus meningkatkan permainan passing di lini tengah, banyak yang harus diperbaiki.",mu harus meningkatkan permainan passing di lini tengah banyak yang harus diperbaiki,netral,mu tingkat main passing di lini diperbaiki
@dickysetyawan21_ Jurgen Klopp apa pep,jurgen klopp apa pep,netral,jurgen klopp pep
"Setiap pertandingan adalah peluang, dan MU harus memanfaatkannya.",setiap pertandingan adalah peluang dan mu harus memanfaatkannya,netral,tanding peluang mu manfaat
"Udah dibilang pelatih sama kiper medioker, tapi masih ada yg bilang percaya proses, TAI KAMBING! Dikalahkan sama pelatih debutan di Inggris yg cuma beli 1 pemain, maju lo semua yg masih belain si palkon",udah dibilang pelatih sama kiper medioker tapi masih ada yg bilang percaya proses tai kambing dikalahkan sama pelatih debutan di inggris yg cuma beli pemain maju lo semua yg masih belain si palkon,positif,bilang latih kiper medioker bilang percaya proses tahi kambing kalah latih debut di inggris beli main maju lo bela sih palkon
"Mainnya tenang dan rapi, seneng banget nontonnya!",mainnya tenang dan rapi seneng banget nontonnya,positif,main tenang rapi senang banget nontonnya
"@bobbymulyana307 kasusnya siapa? case? yaa emang di madrid bagus, tapi dia kan dibeli pas udah 30an, lu mau ngarep yang gimana? tempo di epl tau sendiri cepetnya kayak gimana. itu mungkin bisa jadi faktor",kasusnya siapa case yaa emang di madrid bagus tapi dia kan dibeli pas udah an lu mau ngarep yang gimana tempo di epl tau sendiri cepetnya kayak gimana itu mungkin bisa jadi faktor,negatif,kasusnya case ya di madrid bagus beli pas an lu harap tempo di epl tau cepetnya kayak faktor
"@yoga_abdurahman kalau kata pumuja ten hag, sudah berkembang. Padahal harusnya dimusim k3 melatih jauh dari ini, apalagi dg segala pemain yg dia inginkan di beli",kalau kata pumuja ten hag sudah berkembang padahal harusnya dimusim k melatih jauh dari ini apalagi dg segala pemain yg dia inginkan di beli,negatif,pumuja ten hag kembang musim ke latih main di beli
"Tenang, minimal 1 trophy musim ini",tenang minimal trophy musim ini,netral,tenang minimal trophy musim
"numpang promosi bang, buat temen temen yg lagi problem masalah skripsi saya nyediain jasa joki skripsi ni bisa dm saya ya, terimakasih",numpang promosi bang buat temen temen yg lagi problem masalah skripsi saya nyediain jasa joki skripsi ni bisa dm saya ya terimakasih,netral,numpang promosi bang teman teman problem skripsi nyediain jasa joki skripsi dm ya terimakasih
"Laga kedua menunjukkan peningkatan di lini belakang, tetapi Bruno Fernandes masih perlu lebih tajam dalam memberikan assist di lini depan.",laga kedua menunjukkan peningkatan di lini belakang tetapi bruno fernandes masih perlu lebih tajam dalam memberikan assist di lini depan,netral,laga tingkat di lini bruno fernandes tajam assist di lini
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral,jadwal main jam
"Taktik udah oke, tapi kenapa ya serangan masih suka mandek? Pertahanan kadang ga konsisten juga.",taktik udah oke tapi kenapa ya serangan masih suka mandek pertahanan kadang ga konsisten juga,negatif,taktik oke ya serang suka mandek tahan kadang konsisten
"kalo sekarang setuju, tapi kalo dijaman ole rashford ini bantay2 semua org jinkkk",kalo sekarang setuju tapi kalo dijaman ole rashford ini bantay semua org jink,negatif,kalo tuju kalo jam ole rashford bantay orang jink
"kita sudah mengkritik emyu dr dulu,mereka baru lahir bang, mereka nge fans karena jerseynya bagus doang persetan sama prestasi, gua jadi bingung mereka itu nge fans sama emyu apa ten hag",kita sudah mengkritik emyu dr dulumereka baru lahir bang mereka nge fans karena jerseynya bagus doang persetan sama prestasi gua jadi bingung mereka itu nge fans sama emyu apa ten hag,negatif,kritik emyu dulumereka lahir bang nge fan jerseynya bagus doang persetan prestasi gua bingung nge fan emyu ten hag
"Fred sering membuat keputusan terburu-buru, yang menyebabkan kita kehilangan bola di area kritis.",fred sering membuat keputusan terburuburu yang menyebabkan kita kehilangan bola di area kritis,netral,fred putus terburuburu menyebabkan hilang bola di area kritis
Lebih baik amorim resign gih .. biar pemain aja yg atur permainannya gimana yakan .. capek sdh ganti pelatih toh sama aja juga pada bobrok,lebih baik amorim resign gih biar pemain aja yg atur permainannya gimana yakan capek sdh ganti pelatih toh sama aja juga pada bobrok,negatif,amorim resign gih biar main atur main yakan capek ganti latih bobrok
"kan kata gue lihat sampai akhir musim, baru percaya gak percaya. ini baru 2 match, elu sudah bisa rangkumin sampai match ke 36 atau 38 epl",kan kata gue lihat sampai akhir musim baru percaya gak percaya ini baru match elu sudah bisa rangkumin sampai match ke atau epl,positif,gue lihat musim percaya percaya match lu rangkumin match ke epl
"Selama Rashford masi starter ,, jgn terlalu berharap lah,, virusnya itu rashford",selama rashford masi starter jgn terlalu berharap lah virusnya itu rashford,negatif,rashford starter harap virus rashford
miracle in emirates stadiumï£¿Ã¼Ã®â¢,miracle in emirates stadium,netral,miracle emirates stadium
astaga onana,astaga onana,negatif,astaga onana
"MU bawa pulang kemenangan 3-0, tapi kita nggak boleh lupa kalau defense kita masih lemah. Harus diperbaiki.",mu bawa pulang kemenangan tapi kita nggak boleh lupa kalau defense kita masih lemah harus diperbaiki,positif,mu bawa pulang menang lupa defense lemah diperbaiki
Bayindir terlalu op disni geloo ï£¿Ã¼Ã«Ã¨,bayindir terlalu op disni geloo,negatif,bayindir op geloo
Ten Hag masih butuh waktu. Kasih dia kesempatan buat ngebangun tim yang lebih solid.,ten hag masih butuh waktu kasih dia kesempatan buat ngebangun tim yang lebih solid,positif,ten hag butuh kasih kesempatan ngebangun tim solid
pelatih fisiknya siapa emyu,pelatih fisiknya siapa emyu,netral,latih fisik emyu
"Kalau MU nggak segera perbaiki pertahanan, bisa makin terpuruk di liga.",kalau mu nggak segera perbaiki pertahanan bisa makin terpuruk di liga,positif,mu perbaiki tahan puruk di liga
"@mhrezha.r saat loan lah, karna masih berstatus pemain Emyu kontraknya, jadi ikut maunya Emyu. Pas udah resmi kontrak dg Chelsea, ya suka-suka Chelsea mau diapain ini pemain.",r saat loan lah karna masih berstatus pemain emyu kontraknya jadi ikut maunya emyu pas udah resmi kontrak dg chelsea ya sukasuka chelsea mau diapain ini pemain,negatif,r loan status main emyu kontrak maunya emyu pas resmi kontrak chelsea ya sukasuka chelsea diapakan main
"Setuju,",setuju,positif,tuju
"Astaga, bek kita ini kayak pemula! Rebut bola aja nggak bisa, cuma nonton doang!",astaga bek kita ini kayak pemula rebut bola aja nggak bisa cuma nonton doang,positif,astaga bek kayak pemula rebut bola tonton doang
"Ruben Amorim sudah menunjukkan tanda-tanda positif dalam laga pertama, meskipun hasilnya imbang, saya percaya dia bisa memperbaiki tim lebih baik.",ruben amorim sudah menunjukkan tandatanda positif dalam laga pertama meskipun hasilnya imbang saya percaya dia bisa memperbaiki tim lebih baik,positif,ruben amorim tandatanda positif laga hasil imbang percaya memperbaiki tim
"ntar mah giliran di buang dijual gitu malah gacor di club baru, malah greget jadinya ï£¿Ã¼Â§Â£",ntar mah giliran di buang dijual gitu malah gacor di club baru malah greget jadinya,positif,entar mah gilir di buang jual gacor di club greget
"Raspot, Mamad, Kasmir harus diganti",raspot mamad kasmir harus diganti,netral,raspot mamad kasmir ganti
"MU harus meningkatkan permainan passing di lini tengah, banyak yang harus diperbaiki.",mu harus meningkatkan permainan passing di lini tengah banyak yang harus diperbaiki,netral,mu tingkat main passing di lini diperbaiki
"@rezkynurhadii fulham juga ancur""an kocak, gimana ga bagus kalo lawan lu aja jelek, dari segi apapun jelas dibawah Mu Fulham bro. Mau gimana lagi ini botak udah 2 musim main stagnan mulu mau sampe kapan wkwkwk",fulham juga ancuran kocak gimana ga bagus kalo lawan lu aja jelek dari segi apapun jelas dibawah mu fulham bro mau gimana lagi ini botak udah musim main stagnan mulu mau sampe kapan wkwkwk,negatif,fulham ancuran kocak bagus kalo lawan lu jelek segi apapun dibawah mu fulham bro botak musim main stagnan mulu wkwkwk
tim medis nya dipertanyakan,tim medis nya dipertanyakan,netral,tim medis nya
nongol juga pendukung ten hag percaya prokes,nongol juga pendukung ten hag percaya prokes,negatif,nongol dukung ten hag percaya prokes
Jgn chilwell kaki kaca sama aja kyk shaw,jgn chilwell kaki kaca sama aja kyk shaw,negatif,chilwell kaki kaca kayak shaw
"jangan di pecat, biar tiap Minggu jadi badut terus",jangan di pecat biar tiap minggu jadi badut terus,positif,di pecat biar minggu badut
@agungmk_ nahh ini aku jg agak sadar ï£¿Ã¼Ã²Ã Onana GK main peluang menang LBH besar,nahh ini aku jg agak sadar onana gk main peluang menang lbh besar,positif,sadar onana main peluang menang
Kebiasaan e mu mesti menit akhir cok,kebiasaan e mu mesti menit akhir cok,negatif,kebiasaan e mu mesti menit cok
Kalo ada var pasti offside,kalo ada var pasti offside,netral,kalo var offside
Dan itulah faktanya..,dan itulah faktanya,netral,fakta
kiper kocak,kiper kocak,negatif,kiper kocak
Saya harap Ruben Amorim bisa segera mengatasi masalah ketajaman lini depan. Hasil imbang menunjukkan ada ruang untuk perbaikan.,saya harap ruben amorim bisa segera mengatasi masalah ketajaman lini depan hasil imbang menunjukkan ada ruang untuk perbaikan,netral,harap ruben amorim mengatasi tajam lini hasil imbang ruang perbaikan
"Nonton pertandingan tadi tuh mixed feelings, ada momen keren tapi juga banyak blunder.",nonton pertandingan tadi tuh mixed feelings ada momen keren tapi juga banyak blunder,negatif,tonton tanding tuh mixed feelings momen keren blunder
"Build-up play lebih natural, tidak dipaksakan seperti era Ten Hag.",buildup play lebih natural tidak dipaksakan seperti era ten hag,positif,buildup play natural paksa era ten hag
"Kita tetap perlu meningkatkan ketajaman di lini serang, banyak peluang yang seharusnya bisa lebih diselesaikan.",kita tetap perlu meningkatkan ketajaman di lini serang banyak peluang yang seharusnya bisa lebih diselesaikan,netral,tingkat tajam di lini serang peluang selesai
@ramadhan.1499 gak jelas taktiknya si eth,gak jelas taktiknya si eth,negatif,taktik sih eth
Jarang main masa gk fit ... agal laen nih coach,jarang main masa gk fit agal laen nih coach,negatif,jarang main fit agal nih coach
Tuker palmer kalo mau,tuker palmer kalo mau,netral,tuker palmer kalo
Pressing intensity meningkat tapi masih sering kecolongan serangan balik.,pressing intensity meningkat tapi masih sering kecolongan serangan balik,negatif,pressing intensity tingkat colong serang
"intinya Ten hag ini gak da tegas nya, malah me anak emas kan Onana, rashford, anak emas nya",intinya ten hag ini gak da tegas nya malah me anak emas kan onana rashford anak emas nya,negatif,inti ten hag nya me anak emas onana rashford anak emas nya
jual baju mah yang cuan adidasnya wkwkwk kalau duitnya ke MU juga terus adidas dapat apaï£¿Ã¼Ã²Ã,jual baju mah yang cuan adidasnya wkwkwk kalau duitnya ke mu juga terus adidas dapat apa,negatif,jual baju mah cuan adidasnya wkwkwk duit ke mu adidas
"Sering terjadi miskomunikasi di lini belakang, harus segera diperbaiki.",sering terjadi miskomunikasi di lini belakang harus segera diperbaiki,netral,miskomunikasi di lini diperbaiki
Apa kabar Zirkzee? Gue rasa dia bakal jadi pembeda buat MU. Diharapkan bisa nyetak gol banyak!,apa kabar zirkzee gue rasa dia bakal jadi pembeda buat mu diharapkan bisa nyetak gol banyak,netral,kabar zirkzee gue beda mu harap nyetak gol
"Gpp min, katanya kemarin kan yg salah cidera dan pemain yg ga perform. Bukan pelatihnya, eth kan pelatih hebat kata mereka",gpp min katanya kemarin kan yg salah cidera dan pemain yg ga perform bukan pelatihnya eth kan pelatih hebat kata mereka,positif,apa-apa min kemarin salah cidera main perform latih eth latih hebat
@arisrmdhan_ rashford pun tak guna,rashford pun tak guna,netral,rashford
