Comment Text,Cleaned Comment,Sentiment
"kudunya tuh pemain harus bermain autopilot kaya jaman ole, tapi sekarang harus ngikutin sistem tenhag",kudunya tuh pemain harus bermain autopilot kaya jaman ole tapi sekarang harus ngikutin sistem tenhag,negatif
"coba dah sekali jangan starter mulu,",coba dah sekali jangan starter mulu,negatif
di kutuk bully Liverpool puasa 30 tahun pdahal di kurun waktu itu ada dapet UCL  sekarang MU Giliran bakal puasa gelar dan gak akan dapat piala bergengsi apapun paling mentok ueropa league,di kutuk bully liverpool puasa tahun pdahal di kurun waktu itu ada dapet ucl sekarang mu giliran bakal puasa gelar dan gak akan dapat piala bergengsi apapun paling mentok ueropa league,negatif
"semangat bang case, anda belum habis",semangat bang case anda belum habis,positif
@edi_hermawan_s buang bruno,buang bruno,negatif
"Mantap Casemiro, lanjutkan blunder2 mu yg brilian itu",mantap casemiro lanjutkan blunder mu yg brilian itu,positif
"beban jual aja, sama kek antoni",beban jual aja sama kek antoni,negatif
cocok liga arab dah,cocok liga arab dah,positif
contohlah captain maguire,contohlah captain maguire,negatif
Nyusahin amat .mending pindah aja,nyusahin amat mending pindah aja,negatif
emyu legend main jam berapa min?,emyu legend main jam berapa min,netral
Wkwk setidaknya tidak sebapuk ini. Bila perlu sampai ethes presiden,wkwk setidaknya tidak sebapuk ini bila perlu sampai ethes presiden,negatif
Keknya kalo gini terus ini musim terakhir eth,keknya kalo gini terus ini musim terakhir eth,negatif
"Ternyata belum berubah, padahal liverpool baru ganti pelatih",ternyata belum berubah padahal liverpool baru ganti pelatih,netral
"Onana itu jelek, mending de Gea dulu sering bantu dapatkan poin untuk MU meski blunder juga, ini Onana sering bikin emosi",onana itu jelek mending de gea dulu sering bantu dapatkan poin untuk mu meski blunder juga ini onana sering bikin emosi,negatif
"Udah dibilang pelatih sama kiper medioker, tapi masih ada yg bilang percaya proses, TAI KAMBING! Dikalahkan sama pelatih debutan di Inggris yg cuma beli 1 pemain, maju lo semua yg masih belain si palkon",udah dibilang pelatih sama kiper medioker tapi masih ada yg bilang percaya proses tai kambing dikalahkan sama pelatih debutan di inggris yg cuma beli pemain maju lo semua yg masih belain si palkon,positif
onana ga bisa save anjing,onana ga bisa save anjing,negatif
lawak,lawak,negatif
Tenhag out Carrick in,tenhag out carrick in,netral
@ramadhan.1499 gak jelas taktiknya si eth,gak jelas taktiknya si eth,negatif
kiper kocak,kiper kocak,negatif
bener banget kalau aku kritik eth pasti bilangnya fans karbitanlah padahal lihat permainannya strateginya padahal diisi pemainnya di ajax,bener banget kalau aku kritik eth pasti bilangnya fans karbitanlah padahal lihat permainannya strateginya padahal diisi pemainnya di ajax,negatif
#ethout,ethout,positif
Pendukung si botak masuk goa makan tu 2 musim cuma ngebanggain fa ama kebo cup gini amat tim yg udah 3 musim di latih tapi kalah ama pelatih yg baru datang di bantai pula,pendukung si botak masuk goa makan tu musim cuma ngebanggain fa ama kebo cup gini amat tim yg udah musim di latih tapi kalah ama pelatih yg baru datang di bantai pula,positif
Ini yang salah dari MU pelatih apa pemain?,ini yang salah dari mu pelatih apa pemain,negatif
Untung kaga nonton,untung kaga nonton,negatif
ETH waktu out,eth waktu out,negatif
emyu punya kiper jago malah d buang lbh milih kiper lawak,emyu punya kiper jago malah d buang lbh milih kiper lawak,positif
jam berapa main lagi min,jam berapa main lagi min,netral
@mocinkosfav kenapa Rashford selalu starter ya. Minim gol minim asist,kenapa rashford selalu starter ya minim gol minim asist,positif
Eth Minim taktik,eth minim taktik,negatif
"gw yang coba sabar sama progres eth juga lama2 kesel anjay, out aja lah kalo sampe akhir musim gini2 doang mah",gw yang coba sabar sama progres eth juga lama kesel anjay out aja lah kalo sampe akhir musim gini doang mah,negatif
"Positip ini ten hag yang bermasalah, karena semua keinginannya sudah dituruti, tapi masih tetep aja begini",positip ini ten hag yang bermasalah karena semua keinginannya sudah dituruti tapi masih tetep aja begini,negatif
Tiap musim juga emang bukan pesaing,tiap musim juga emang bukan pesaing,positif
Sudah bagus mau di kasi Tuchel malah percaya proses,sudah bagus mau di kasi tuchel malah percaya proses,negatif
Badut tetaplah badut,badut tetaplah badut,negatif
"jangan di pecat, biar tiap Minggu jadi badut terus",jangan di pecat biar tiap minggu jadi badut terus,positif
mau Amad mau apa kalau pelatih badut sama aja,mau amad mau apa kalau pelatih badut sama aja,negatif
pelatihnya yang badut,pelatihnya yang badut,negatif
pelatih badut,pelatih badut,negatif
yang beli dia kan pelatih badut,yang beli dia kan pelatih badut,negatif
@sutansyah_1310 pelatih badut,pelatih badut,negatif
"Banyak pelanggaran aneh, tapi terlepas dari itu mainnya jelek.. rashford mentok, garnacho juga ikut ikutan, zirkzee Oke Bruno kalo udah frustasi ya gitu, case sih parah, semoga ugarte bisa gantiin role nya. Onana udah dah bapuk, buildup sih lumayan tapi kurang efektif",banyak pelanggaran aneh tapi terlepas dari itu mainnya jelek rashford mentok garnacho juga ikut ikutan zirkzee oke bruno kalo udah frustasi ya gitu case sih parah semoga ugarte bisa gantiin role nya onana udah dah bapuk buildup sih lumayan tapi kurang efektif,positif
Udah si jelasin sama brighton minggu kemaren masih aja di proses mulu,udah si jelasin sama brighton minggu kemaren masih aja di proses mulu,positif
Ye wayahe out kalik,ye wayahe out kalik,negatif
@ivn.maulana casemiro gak lu sebut sebagai masalah . 2 gol dari kesalahan dia loh. Itu alasan kenapa ugarte di beli,maulana casemiro gak lu sebut sebagai masalah gol dari kesalahan dia loh itu alasan kenapa ugarte di beli,negatif
"Saya rasa Ruben Amorim sudah menunjukkan perubahan yang positif, meskipun hasilnya imbang, saya optimis MU akan lebih baik ke depannya.",saya rasa ruben amorim sudah menunjukkan perubahan yang positif meskipun hasilnya imbang saya optimis mu akan lebih baik ke depannya,positif
"Hasil imbang di laga pertama memberikan harapan baru, saya sangat yakin Ruben Amorim akan membawa MU kembali ke puncak.",hasil imbang di laga pertama memberikan harapan baru saya sangat yakin ruben amorim akan membawa mu kembali ke puncak,positif
"Perubahan yang dibawa Ruben Amorim menunjukkan arah yang positif. Meski hanya imbang, saya optimis MU akan lebih kompetitif.",perubahan yang dibawa ruben amorim menunjukkan arah yang positif meski hanya imbang saya optimis mu akan lebih kompetitif,positif
"Permainan lebih terorganisir dan lebih efisien, meskipun hasil pertama tidak memuaskan, saya rasa MU akan segera kembali ke jalur kemenangan.",permainan lebih terorganisir dan lebih efisien meskipun hasil pertama tidak memuaskan saya rasa mu akan segera kembali ke jalur kemenangan,positif
Ruben Amorim menunjukkan bahwa dia punya visi yang jelas meskipun hasilnya imbang. Semoga tim bisa berkembang lebih baik di laga berikutnya.,ruben amorim menunjukkan bahwa dia punya visi yang jelas meskipun hasilnya imbang semoga tim bisa berkembang lebih baik di laga berikutnya,positif
"Performa tim sedikit mengecewakan, meskipun ada peningkatan di beberapa bagian permainan. Saya rasa Ruben Amorim butuh lebih banyak waktu.",performa tim sedikit mengecewakan meskipun ada peningkatan di beberapa bagian permainan saya rasa ruben amorim butuh lebih banyak waktu,negatif
"Hasil imbang di laga pertama sedikit mengecewakan, tapi saya bisa melihat semangat baru dalam permainan MU di bawah Ruben Amorim.",hasil imbang di laga pertama sedikit mengecewakan tapi saya bisa melihat semangat baru dalam permainan mu di bawah ruben amorim,negatif
"Saya optimis dengan filosofi yang dibawa Ruben Amorim, meskipun tim masih belum tampil maksimal, ada harapan besar untuk masa depan.",saya optimis dengan filosofi yang dibawa ruben amorim meskipun tim masih belum tampil maksimal ada harapan besar untuk masa depan,positif
"Laga pertama cukup menjanjikan, saya berharap Ruben Amorim bisa terus memperbaiki kelemahan tim agar bisa meraih kemenangan berikutnya.",laga pertama cukup menjanjikan saya berharap ruben amorim bisa terus memperbaiki kelemahan tim agar bisa meraih kemenangan berikutnya,positif
"Ruben Amorim sudah membawa perubahan dalam permainan tim, meskipun hasil imbang, saya optimis dia bisa memperbaiki kekurangan di tim.",ruben amorim sudah membawa perubahan dalam permainan tim meskipun hasil imbang saya optimis dia bisa memperbaiki kekurangan di tim,positif
"Tim terlihat lebih terorganisir dan lebih disiplin, namun saya sedikit kecewa dengan hasil imbang. Saya harap Ruben Amorim bisa membuat perbaikan lebih cepat.",tim terlihat lebih terorganisir dan lebih disiplin namun saya sedikit kecewa dengan hasil imbang saya harap ruben amorim bisa membuat perbaikan lebih cepat,negatif
"Ruben Amorim mulai memperkenalkan permainan yang lebih menyerang, meskipun hasilnya imbang, saya melihat potensi besar untuk berkembang.",ruben amorim mulai memperkenalkan permainan yang lebih menyerang meskipun hasilnya imbang saya melihat potensi besar untuk berkembang,positif
"Saya sedikit ragu dengan adaptasi Ruben Amorim di Premier League, namun saya berharap dia bisa memperbaiki kekurangan di tim.",saya sedikit ragu dengan adaptasi ruben amorim di premier league namun saya berharap dia bisa memperbaiki kekurangan di tim,positif
"Saya merasa sedikit kecewa dengan hasil imbang, namun ada banyak tanda-tanda positif di bawah Ruben Amorim.",saya merasa sedikit kecewa dengan hasil imbang namun ada banyak tandatanda positif di bawah ruben amorim,negatif
"Saya optimis dengan perubahan yang dibawa Ruben Amorim, tetapi kami harus lebih tajam di depan gawang untuk meraih kemenangan.",saya optimis dengan perubahan yang dibawa ruben amorim tetapi kami harus lebih tajam di depan gawang untuk meraih kemenangan,positif
"Laga pertama cukup positif, namun saya rasa tim ini masih perlu waktu untuk benar-benar padu di bawah kepemimpinan Ruben Amorim.",laga pertama cukup positif namun saya rasa tim ini masih perlu waktu untuk benarbenar padu di bawah kepemimpinan ruben amorim,positif
"Saya melihat banyak potensi dalam tim, meskipun hasil pertama imbang. Ruben Amorim bisa memberikan MU banyak hal positif ke depannya.",saya melihat banyak potensi dalam tim meskipun hasil pertama imbang ruben amorim bisa memberikan mu banyak hal positif ke depannya,positif
"Ruben Amorim membawa filosofi baru yang lebih progresif, namun saya merasa masih ada kekurangan yang perlu diperbaiki di lini serang.",ruben amorim membawa filosofi baru yang lebih progresif namun saya merasa masih ada kekurangan yang perlu diperbaiki di lini serang,positif
"Ruben Amorim sudah menunjukkan tanda-tanda positif dalam laga pertama, meskipun hasilnya imbang, saya percaya dia bisa memperbaiki tim lebih baik.",ruben amorim sudah menunjukkan tandatanda positif dalam laga pertama meskipun hasilnya imbang saya percaya dia bisa memperbaiki tim lebih baik,positif
"Saya berharap Ruben Amorim bisa lebih kreatif dalam menghadapi lawan. Hasil imbang tidak ideal, tapi saya masih optimis dengan perubahan yang dia bawa.",saya berharap ruben amorim bisa lebih kreatif dalam menghadapi lawan hasil imbang tidak ideal tapi saya masih optimis dengan perubahan yang dia bawa,positif
"Lini pertahanan terlihat lebih solid di bawah Ruben Amorim, namun lini serang perlu lebih tajam untuk meraih kemenangan di pertandingan berikutnya.",lini pertahanan terlihat lebih solid di bawah ruben amorim namun lini serang perlu lebih tajam untuk meraih kemenangan di pertandingan berikutnya,positif
"Saya optimis dengan kedatangan Ruben Amorim. Meskipun hasil imbang, tim terlihat lebih solid dan terorganisir.",saya optimis dengan kedatangan ruben amorim meskipun hasil imbang tim terlihat lebih solid dan terorganisir,positif
"Saya sedikit kecewa dengan hasil imbang, namun saya melihat banyak perubahan positif dalam cara bermain MU di bawah Ruben Amorim.",saya sedikit kecewa dengan hasil imbang namun saya melihat banyak perubahan positif dalam cara bermain mu di bawah ruben amorim,positif
"Ruben Amorim membawa filosofi permainan yang menarik, meskipun imbang, saya berharap dia bisa segera membuat MU lebih kompetitif.",ruben amorim membawa filosofi permainan yang menarik meskipun imbang saya berharap dia bisa segera membuat mu lebih kompetitif,positif
"Saya melihat banyak potensi di tim, meskipun hanya imbang. Ruben Amorim punya filosofi yang bisa membawa MU ke tingkat selanjutnya.",saya melihat banyak potensi di tim meskipun hanya imbang ruben amorim punya filosofi yang bisa membawa mu ke tingkat selanjutnya,positif
Saya harap Ruben Amorim bisa segera mengatasi masalah ketajaman lini depan. Hasil imbang menunjukkan ada ruang untuk perbaikan.,saya harap ruben amorim bisa segera mengatasi masalah ketajaman lini depan hasil imbang menunjukkan ada ruang untuk perbaikan,netral
"Ruben Amorim mulai membawa perubahan dalam permainan tim, meskipun hasilnya tidak memuaskan, saya merasa ada langkah maju yang jelas.",ruben amorim mulai membawa perubahan dalam permainan tim meskipun hasilnya tidak memuaskan saya merasa ada langkah maju yang jelas,positif
"Permainan tim lebih terorganisir, meskipun hasilnya imbang, saya percaya Ruben Amorim bisa membawa perubahan besar.",permainan tim lebih terorganisir meskipun hasilnya imbang saya percaya ruben amorim bisa membawa perubahan besar,positif
"Saya melihat lebih banyak konsistensi dalam permainan MU, namun hasil imbang ini menunjukkan bahwa kami masih perlu lebih banyak kreativitas di lini depan.",saya melihat lebih banyak konsistensi dalam permainan mu namun hasil imbang ini menunjukkan bahwa kami masih perlu lebih banyak kreativitas di lini depan,positif
Ruben Amorim harus lebih tegas dalam rotasi pemain. Lini serang yang kurang tajam menjadi masalah besar di laga pertama.,ruben amorim harus lebih tegas dalam rotasi pemain lini serang yang kurang tajam menjadi masalah besar di laga pertama,netral
"Saya percaya Ruben Amorim akan bisa membawa MU kembali ke jalur kemenangan, meskipun kami hanya bermain imbang di pertandingan pertama.",saya percaya ruben amorim akan bisa membawa mu kembali ke jalur kemenangan meskipun kami hanya bermain imbang di pertandingan pertama,positif
"Saya harap Ruben Amorim segera mengatasi masalah di lini serang. Permainan tim lebih terorganisir, tetapi hasil imbang ini sangat mengecewakan.",saya harap ruben amorim segera mengatasi masalah di lini serang permainan tim lebih terorganisir tetapi hasil imbang ini sangat mengecewakan,negatif
"Perubahan yang dibawa Ruben Amorim sangat positif, namun lini serang harus lebih tajam untuk meraih kemenangan di laga-laga berikutnya.",perubahan yang dibawa ruben amorim sangat positif namun lini serang harus lebih tajam untuk meraih kemenangan di lagalaga berikutnya,positif
"Saya melihat bahwa Ruben Amorim membawa angin segar, meskipun hasilnya imbang, tim ini terlihat lebih percaya diri dan lebih agresif.",saya melihat bahwa ruben amorim membawa angin segar meskipun hasilnya imbang tim ini terlihat lebih percaya diri dan lebih agresif,positif
Perlunya beli pemain yg cerdas & visionable.. dan yg pasti managernya yg cerdas serta visionable pula.. setengah musim ini harusnya WAJIB banget jadi penilaian terakhir kinerja ten hag apakah masih layak atau pecat.,perlunya beli pemain yg cerdas visionable dan yg pasti managernya yg cerdas serta visionable pula setengah musim ini harusnya wajib banget jadi penilaian terakhir kinerja ten hag apakah masih layak atau pecat,positif
"Hasil imbang di pertandingan pertama agak mengecewakan, namun ada perbaikan dalam cara bermain MU di bawah Ruben Amorim.",hasil imbang di pertandingan pertama agak mengecewakan namun ada perbaikan dalam cara bermain mu di bawah ruben amorim,negatif
"Ruben Amorim sudah mulai membawa perubahan positif, meskipun kami hanya bermain imbang, saya melihat ada peningkatan dalam filosofi permainan.",ruben amorim sudah mulai membawa perubahan positif meskipun kami hanya bermain imbang saya melihat ada peningkatan dalam filosofi permainan,positif
"Saya sedikit kecewa dengan hasil imbang, namun saya optimis dengan masa depan MU di bawah Ruben Amorim. Dia bisa membawa perubahan.",saya sedikit kecewa dengan hasil imbang namun saya optimis dengan masa depan mu di bawah ruben amorim dia bisa membawa perubahan,positif
"Permainan tim terlihat lebih terorganisir, meskipun hanya hasil imbang, saya melihat ada semangat baru yang ditunjukkan pemain.",permainan tim terlihat lebih terorganisir meskipun hanya hasil imbang saya melihat ada semangat baru yang ditunjukkan pemain,positif
"Ruben Amorim sudah mulai menunjukkan kualitasnya, meskipun hasil pertama imbang, saya yakin dia bisa membawa MU ke level yang lebih tinggi.",ruben amorim sudah mulai menunjukkan kualitasnya meskipun hasil pertama imbang saya yakin dia bisa membawa mu ke level yang lebih tinggi,positif
"Saya melihat beberapa perubahan positif dalam permainan tim, meskipun hasil imbang ini membuat saya sedikit kecewa.",saya melihat beberapa perubahan positif dalam permainan tim meskipun hasil imbang ini membuat saya sedikit kecewa,negatif
"Hasil imbang di laga pertama ini sedikit mengecewakan, namun saya melihat ada perbaikan dalam filosofi permainan MU di bawah Ruben Amorim.",hasil imbang di laga pertama ini sedikit mengecewakan namun saya melihat ada perbaikan dalam filosofi permainan mu di bawah ruben amorim,negatif
"Ruben Amorim memulai dengan baik, meskipun hasilnya tidak memuaskan, saya percaya dia bisa membawa perubahan besar dalam jangka panjang.",ruben amorim memulai dengan baik meskipun hasilnya tidak memuaskan saya percaya dia bisa membawa perubahan besar dalam jangka panjang,positif
"Saya sedikit ragu dengan filosofi permainan Ruben Amorim, namun saya optimis dia akan memperbaiki kekurangan tim dalam waktu singkat.",saya sedikit ragu dengan filosofi permainan ruben amorim namun saya optimis dia akan memperbaiki kekurangan tim dalam waktu singkat,positif
"Saya senang melihat tim lebih terorganisir di bawah Ruben Amorim, meskipun hasilnya imbang, saya yakin tim ini bisa lebih baik.",saya senang melihat tim lebih terorganisir di bawah ruben amorim meskipun hasilnya imbang saya yakin tim ini bisa lebih baik,positif
"Ruben Amorim sudah mulai memperkenalkan filosofi baru, namun saya merasa lini serang masih perlu banyak perbaikan untuk meraih kemenangan.",ruben amorim sudah mulai memperkenalkan filosofi baru namun saya merasa lini serang masih perlu banyak perbaikan untuk meraih kemenangan,positif
"Hasil imbang ini membuat saya sedikit kecewa, tapi saya melihat ada potensi besar yang bisa dibawa oleh Ruben Amorim.",hasil imbang ini membuat saya sedikit kecewa tapi saya melihat ada potensi besar yang bisa dibawa oleh ruben amorim,positif
"Saya percaya dengan filosofi yang dibawa Ruben Amorim, meskipun hasil pertama imbang, tim ini akan semakin berkembang di masa depan.",saya percaya dengan filosofi yang dibawa ruben amorim meskipun hasil pertama imbang tim ini akan semakin berkembang di masa depan,positif
"Laga pertama cukup positif, meskipun tidak menang. Saya percaya dengan waktu Ruben Amorim bisa membawa tim ini ke jalur kemenangan.",laga pertama cukup positif meskipun tidak menang saya percaya dengan waktu ruben amorim bisa membawa tim ini ke jalur kemenangan,positif
"Ruben Amorim membawa permainan yang lebih terorganisir, namun hasil imbang ini menunjukkan bahwa masih banyak perbaikan yang harus dilakukan.",ruben amorim membawa permainan yang lebih terorganisir namun hasil imbang ini menunjukkan bahwa masih banyak perbaikan yang harus dilakukan,positif
"Saya optimis dengan perubahan yang dibawa Ruben Amorim, meskipun ada banyak kekurangan, saya yakin dia bisa memperbaiki tim ke depannya.",saya optimis dengan perubahan yang dibawa ruben amorim meskipun ada banyak kekurangan saya yakin dia bisa memperbaiki tim ke depannya,positif
"Hasil imbang ini sedikit mengecewakan, tetapi saya bisa melihat semangat baru dalam permainan MU di bawah Ruben Amorim.",hasil imbang ini sedikit mengecewakan tetapi saya bisa melihat semangat baru dalam permainan mu di bawah ruben amorim,negatif
Saya rasa Ruben Amorim membutuhkan lebih banyak waktu untuk menyesuaikan diri dengan tim. Hasil imbang adalah hal yang bisa diterima.,saya rasa ruben amorim membutuhkan lebih banyak waktu untuk menyesuaikan diri dengan tim hasil imbang adalah hal yang bisa diterima,positif
"Permainan lebih terorganisir di bawah Ruben Amorim, meskipun tim belum tampil maksimal, saya melihat banyak potensi dalam tim ini.",permainan lebih terorganisir di bawah ruben amorim meskipun tim belum tampil maksimal saya melihat banyak potensi dalam tim ini,positif
"Ruben Amorim membawa filosofi yang lebih modern, meskipun hasilnya imbang, saya yakin tim akan lebih baik di pertandingan berikutnya.",ruben amorim membawa filosofi yang lebih modern meskipun hasilnya imbang saya yakin tim akan lebih baik di pertandingan berikutnya,positif
"Lini serang masih belum tajam, namun saya optimis Ruben Amorim akan segera memperbaiki kekurangan tersebut.",lini serang masih belum tajam namun saya optimis ruben amorim akan segera memperbaiki kekurangan tersebut,netral
Saya berharap Ruben Amorim bisa segera memperbaiki kelemahan di lini serang agar tim bisa mendapatkan kemenangan di laga berikutnya.,saya berharap ruben amorim bisa segera memperbaiki kelemahan di lini serang agar tim bisa mendapatkan kemenangan di laga berikutnya,positif
"Hasil imbang di laga pertama ini sedikit mengecewakan, namun saya bisa melihat ada perbaikan dalam struktur permainan tim.",hasil imbang di laga pertama ini sedikit mengecewakan namun saya bisa melihat ada perbaikan dalam struktur permainan tim,negatif
"Saya sedikit kecewa dengan hasilnya, namun saya percaya Ruben Amorim bisa membawa MU kembali ke jalur kemenangan.",saya sedikit kecewa dengan hasilnya namun saya percaya ruben amorim bisa membawa mu kembali ke jalur kemenangan,positif
"Ruben Amorim sudah mulai memperkenalkan permainan yang lebih menyerang, meskipun hanya imbang, saya rasa tim ini akan berkembang lebih baik.",ruben amorim sudah mulai memperkenalkan permainan yang lebih menyerang meskipun hanya imbang saya rasa tim ini akan berkembang lebih baik,positif
"Saya melihat perubahan positif dalam cara bermain MU, meskipun hasilnya imbang, saya sangat yakin Ruben Amorim bisa membawa tim ke puncak.",saya melihat perubahan positif dalam cara bermain mu meskipun hasilnya imbang saya sangat yakin ruben amorim bisa membawa tim ke puncak,positif
"Ruben Amorim membawa filosofi baru yang lebih menyerang, namun hasil imbang ini sedikit mengecewakan.",ruben amorim membawa filosofi baru yang lebih menyerang namun hasil imbang ini sedikit mengecewakan,negatif
"Laga pertama ini memperlihatkan bahwa Ruben Amorim bisa membawa perubahan besar, meskipun tim masih butuh lebih banyak kreativitas di lini depan.",laga pertama ini memperlihatkan bahwa ruben amorim bisa membawa perubahan besar meskipun tim masih butuh lebih banyak kreativitas di lini depan,positif
Saya berharap Ruben Amorim bisa segera membawa kemenangan pertama. Hasil imbang ini menunjukkan bahwa masih ada banyak ruang untuk perbaikan.,saya berharap ruben amorim bisa segera membawa kemenangan pertama hasil imbang ini menunjukkan bahwa masih ada banyak ruang untuk perbaikan,positif
"Saya senang melihat semangat baru yang dibawa Ruben Amorim, meskipun hasilnya imbang, saya merasa ada banyak potensi untuk berkembang.",saya senang melihat semangat baru yang dibawa ruben amorim meskipun hasilnya imbang saya merasa ada banyak potensi untuk berkembang,positif
"Setelah laga kedua, saya melihat perubahan yang lebih signifikan. Meskipun hasilnya imbang, tim terlihat lebih terorganisir dan lebih percaya diri.",setelah laga kedua saya melihat perubahan yang lebih signifikan meskipun hasilnya imbang tim terlihat lebih terorganisir dan lebih percaya diri,positif
"Laga kedua Ruben Amorim menunjukkan beberapa perbaikan, namun lini serang masih kurang tajam. Saya berharap dia segera mengatasinya.",laga kedua ruben amorim menunjukkan beberapa perbaikan namun lini serang masih kurang tajam saya berharap dia segera mengatasinya,netral
"Saya mulai optimis dengan pendekatan Ruben Amorim, meskipun hasil imbang, permainan tim lebih terstruktur dan lebih cepat.",saya mulai optimis dengan pendekatan ruben amorim meskipun hasil imbang permainan tim lebih terstruktur dan lebih cepat,positif
"Ruben Amorim semakin menunjukkan filosofi permainannya. Lini tengah terlihat lebih solid, meskipun kami masih kesulitan di lini serang.",ruben amorim semakin menunjukkan filosofi permainannya lini tengah terlihat lebih solid meskipun kami masih kesulitan di lini serang,positif
"Hasil imbang di laga kedua membuat saya sedikit kecewa, namun saya melihat ada peningkatan dalam organisasi tim yang dibawa Ruben Amorim.",hasil imbang di laga kedua membuat saya sedikit kecewa namun saya melihat ada peningkatan dalam organisasi tim yang dibawa ruben amorim,positif
"Lini serang masih menjadi masalah utama, tapi saya percaya dengan waktu, Ruben Amorim akan membuat tim ini lebih tajam di depan gawang.",lini serang masih menjadi masalah utama tapi saya percaya dengan waktu ruben amorim akan membuat tim ini lebih tajam di depan gawang,positif
"Saya sangat senang melihat bahwa tim semakin terorganisir di bawah Ruben Amorim. Meskipun hasil imbang, ada perubahan positif yang jelas.",saya sangat senang melihat bahwa tim semakin terorganisir di bawah ruben amorim meskipun hasil imbang ada perubahan positif yang jelas,positif
"Ruben Amorim mulai menunjukkan kualitasnya di laga kedua, meskipun kami tidak menang, saya bisa melihat perbaikan dalam permainan tim.",ruben amorim mulai menunjukkan kualitasnya di laga kedua meskipun kami tidak menang saya bisa melihat perbaikan dalam permainan tim,positif
"Saya optimis dengan perubahan yang dibawa Ruben Amorim, meskipun hasil imbang, saya merasa MU bisa lebih baik di pertandingan berikutnya.",saya optimis dengan perubahan yang dibawa ruben amorim meskipun hasil imbang saya merasa mu bisa lebih baik di pertandingan berikutnya,positif
