Comment Text,Cleaned Comment,Sentiment
Dan hebatnya sllu dipasang sm ETH. ï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ã,dan hebatnya sllu dipasang sm eth,positif
Pengen main di UEL aja,pengen main di uel aja,netral
gua bodo amat lah kalah yg jelas wajib minimal 1 Thropy akhir musim..,gua bodo amat lah kalah yg jelas wajib minimal thropy akhir musim,negatif
"Kapan lagi dapet 2 pemain, tapi kalo ke juve oke lah barter sama chiesa mah",kapan lagi dapet pemain tapi kalo ke juve oke lah barter sama chiesa mah,netral
"@denol94 emang gak ada,gaji juga turun jauh",emang gak adagaji juga turun jauh,negatif
"astaghfirullah baru babak pertama padahal, di akun2 bola udah sibuk ini itulahï£¿Ã¼Ã²Ã",astaghfirullah baru babak pertama padahal di akun bola udah sibuk ini itulah,negatif
"@bobbymulyana307 makanya itu gua juga bingung ini raspot maen mulu, cadangin kek ganti garnacho kiri, ini malah si amad, gua juga gedeg dibela karna mental lawan team gede lebih ok. haduhh ampun",makanya itu gua juga bingung ini raspot maen mulu cadangin kek ganti garnacho kiri ini malah si amad gua juga gedeg dibela karna mental lawan team gede lebih ok haduhh ampun,negatif
"Tampil solid di babak pertama, tapi babak kedua mulai kehilangan fokus. Harus lebih fokus di pertandingan selanjutnya.",tampil solid di babak pertama tapi babak kedua mulai kehilangan fokus harus lebih fokus di pertandingan selanjutnya,netral
Var gk guna njir,var gk guna njir,negatif
"@fvckje_ baru dua match tenang aja, lagian pemain baru jg butuh waktu buat adaptasi",baru dua match tenang aja lagian pemain baru jg butuh waktu buat adaptasi,netral
El-Silahkan,elsilahkan,positif
@arisrmdhan_ rashford pun tak guna,rashford pun tak guna,netral
@wisnu_aar momen fa cup,momen fa cup,netral
Bukan sejauh ini. Sdh dari akhir musim 2022/2023 dia main buruk broooo. Di kata dia main jelek karena ada CR lah CR keluar sempat naik tp sisanya? Amburadul bro.,bukan sejauh ini sdh dari akhir musim dia main buruk bro di kata dia main jelek karena ada cr lah cr keluar sempat naik tp sisanya amburadul bro,negatif
Ada aja sial nya,ada aja sial nya,negatif
Ni pelatih emg kebanyakan bacot. Tong kosong bunyinya emg nyaring dah.,ni pelatih emg kebanyakan bacot tong kosong bunyinya emg nyaring dah,negatif
"Pertandingan ini memperlihatkan dominasi kita, tetapi Brighton tetap memberi tekanan yang perlu kita waspadai ke depannya.",pertandingan ini memperlihatkan dominasi kita tetapi brighton tetap memberi tekanan yang perlu kita waspadai ke depannya,netral
"MU menang 2-1, tapi kalau kita nggak perbaiki pertahanan, bisa bahaya di laga-laga selanjutnya.",mu menang tapi kalau kita nggak perbaiki pertahanan bisa bahaya di lagalaga selanjutnya,positif
"Taktik tolol ini, knp sih gk pke 433 aja heran dah . Eth trllu memaksakan mount tapi gak mau cadangin bruno",taktik tolol ini knp sih gk pke aja heran dah eth trllu memaksakan mount tapi gak mau cadangin bruno,negatif
Ft win 2-1,ft win,netral
Mungkin aja kena flu. Gak melulu soal cedera,mungkin aja kena flu gak melulu soal cedera,negatif
"stok pelatih top minim di Eropa skrg, ya semoga aja ETH bisa nemu pakem yg pas setelah kekalahan kemarin.. Harusnya udah gak coba lagi sih terlebih cuma beberapa pemain aja yg cedera.",stok pelatih top minim di eropa skrg ya semoga aja eth bisa nemu pakem yg pas setelah kekalahan kemarin harusnya udah gak coba lagi sih terlebih cuma beberapa pemain aja yg cedera,negatif
"Saya rasa Ruben Amorim sudah menunjukkan perubahan yang positif, meskipun hasilnya imbang, saya optimis MU akan lebih baik ke depannya.",saya rasa ruben amorim sudah menunjukkan perubahan yang positif meskipun hasilnya imbang saya optimis mu akan lebih baik ke depannya,positif
kenapa kaga Casemiro yang di ganti malah bruno,kenapa kaga casemiro yang di ganti malah bruno,negatif
Bayindir bisa nih geser onane... ï£¿Ã¼Ã²Ã,bayindir bisa nih geser onane,netral
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral
"Hasil imbang di laga pertama sedikit mengecewakan, tapi saya bisa melihat semangat baru dalam permainan MU di bawah Ruben Amorim.",hasil imbang di laga pertama sedikit mengecewakan tapi saya bisa melihat semangat baru dalam permainan mu di bawah ruben amorim,negatif
kebanyakan pegang bola sekali d serang gol. parah,kebanyakan pegang bola sekali d serang gol parah,negatif
"@altaybayindir Kamu keren, Onana gak pernah becus nangkap penalti",kamu keren onana gak pernah becus nangkap penalti,positif
@danielrodrigges pkoknya jual dlu si rasford udah capek kali liat dia main ke gtu mulu,pkoknya jual dlu si rasford udah capek kali liat dia main ke gtu mulu,negatif
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral
"Mainnya tenang dan rapi, seneng banget nontonnya!",mainnya tenang dan rapi seneng banget nontonnya,positif
Udah dari musim kemarin perform rashford ini turun bgt.....cuma mungkin karena pemain lokal yg harus di utamain jadi Ten hag juga gak bisa nolak buat gak mainin Dy kayanya,udah dari musim kemarin perform rashford ini turun bgtcuma mungkin karena pemain lokal yg harus di utamain jadi ten hag juga gak bisa nolak buat gak mainin dy kayanya,positif
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral
"Defender kita lemot parah, kalah sprint sama kakek-kakek!",defender kita lemot parah kalah sprint sama kakekkakek,negatif
@arnold047 Eriksen gabisa pressing,eriksen gabisa pressing,netral
"Saya senang melihat Bruno Fernandes tampil lebih dominan di lini tengah, meskipun hasilnya imbang, saya optimis dengan masa depan MU di bawah Ruben Amorim.",saya senang melihat bruno fernandes tampil lebih dominan di lini tengah meskipun hasilnya imbang saya optimis dengan masa depan mu di bawah ruben amorim,positif
"Ruben Amorim membawa filosofi permainan yang menarik, meskipun imbang, saya berharap dia bisa segera membuat MU lebih kompetitif.",ruben amorim membawa filosofi permainan yang menarik meskipun imbang saya berharap dia bisa segera membuat mu lebih kompetitif,positif
pendukung itu apa bg?.. aku fans emyu pokok nya.. yg ga sumbu pendek dan tetep objektif liat kondisi dalam dan luar lapangan,pendukung itu apa bg aku fans emyu pokok nya yg ga sumbu pendek dan tetep objektif liat kondisi dalam dan luar lapangan,positif
"Hojlund makin tajam, tapi jika defense nggak diperbaiki, MU nggak akan jauh. Kemenangan 2-1 masih belum cukup.",hojlund makin tajam tapi jika defense nggak diperbaiki mu nggak akan jauh kemenangan masih belum cukup,positif
Antony tuker mudryk aja,antony tuker mudryk aja,netral
"Gila, seru banget pertandingan kali ini! Ayo terus berjuang!",gila seru banget pertandingan kali ini ayo terus berjuang,positif
"Di bawah Amorim, tim lebih solid secara keseluruhan, meski ketajaman di depan gawang perlu ditingkatkan.",di bawah amorim tim lebih solid secara keseluruhan meski ketajaman di depan gawang perlu ditingkatkan,positif
@gradwntra maksud dia pemain Brighton udah berada dibelakang bola semua,maksud dia pemain brighton udah berada dibelakang bola semua,netral
Martial jilid 2,martial jilid,netral
Ya seperti biasa... setelah ini lihat Rashford beraksi buat Villa dg sentuhan Magic nya...seperti pemain2 MU lainnya yg terbuang,ya seperti biasa setelah ini lihat rashford beraksi buat villa dg sentuhan magic nyaseperti pemain mu lainnya yg terbuang,netral
"Midfield kita sampah! Nggak bisa ngontrol tempo, umpan ngaco semua!",midfield kita sampah nggak bisa ngontrol tempo umpan ngaco semua,positif
"Skema serangan balik Amorim lebih efektif, pemain lebih cepat mengambil keputusan.",skema serangan balik amorim lebih efektif pemain lebih cepat mengambil keputusan,netral
@kelvjunios nahh ï£¿Ã¼Ã²Ã forest sering loh maen 3 bek match terakhir menang 7-0 juga pake formasi itu,nahh forest sering loh maen bek match terakhir menang juga pake formasi itu,positif
Rasford onana akan selalu jadi starter main full 90 mnt sampe akhir musim tak terkecuali mau main nya jelek sir ten hag nih bos kepala batu,rasford onana akan selalu jadi starter main full mnt sampe akhir musim tak terkecuali mau main nya jelek sir ten hag nih bos kepala batu,negatif
@ronaaldiii mungkin krna ini sih JD emyu nambah 30m ajh,mungkin krna ini sih jd emyu nambah m ajh,netral
tim medis nya dipertanyakan,tim medis nya dipertanyakan,netral
"Peluang yang terbuang sangat disayangkan, harus lebih efektif!",peluang yang terbuang sangat disayangkan harus lebih efektif,negatif
Sabar min masih ada lagi kekalahan demi kekalahan selanjutnya kalau kita ingin tsunami trophy main game aja,sabar min masih ada lagi kekalahan demi kekalahan selanjutnya kalau kita ingin tsunami trophy main game aja,negatif
jam berapa main nya bang?,jam berapa main nya bang,netral
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral
Piala FA ga ada VAR ya ? Sepertinya goal maguire offside,piala fa ga ada var ya sepertinya goal maguire offside,negatif
"MU harus segera cari bek tengah baru, terlalu mudah ditembus lawan.",mu harus segera cari bek tengah baru terlalu mudah ditembus lawan,negatif
Fit tp tll,fit tp tll,netral
"Permainan lebih terorganisir di bawah Ruben Amorim, meskipun tim belum tampil maksimal, saya melihat banyak potensi dalam tim ini.",permainan lebih terorganisir di bawah ruben amorim meskipun tim belum tampil maksimal saya melihat banyak potensi dalam tim ini,positif
"@ivn.maulana jangankan mau menyaingi Pep, untuk level arteta aja gak akan mampu",maulana jangankan mau menyaingi pep untuk level arteta aja gak akan mampu,negatif
@inddrra7 siap coach indraa nanti ingatkan lagi aja ya mungkin manajemen nya lupa,siap coach indraa nanti ingatkan lagi aja ya mungkin manajemen nya lupa,negatif
Reflex onana sangat bagus tu.. gol pertama bengong doang,reflex onana sangat bagus tu gol pertama bengong doang,positif
"lah dulu beli pemain bintang mahal juga bapuk,",lah dulu beli pemain bintang mahal juga bapuk,negatif
@gelengjr nah ini yang jadi pertanyakan juga. Kenapa kemarin mainin si raspot ya,nah ini yang jadi pertanyakan juga kenapa kemarin mainin si raspot ya,negatif
"ugarte dm, maino cm, bruno amf, lwf garnacho, rwf amad, cf hojlund",ugarte dm maino cm bruno amf lwf garnacho rwf amad cf hojlund,netral
Pelatih ga jelas banyak omong hasil 0,pelatih ga jelas banyak omong hasil,negatif
@gietzace nah yg heran tuh begitu. Padahal brighton prlatih baru tapi permainan enak,nah yg heran tuh begitu padahal brighton prlatih baru tapi permainan enak,positif
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral
@lavahim iya...yang rugi Ed yg untung ineos ï£¿Ã¼Ã²Ã,iyayang rugi ed yg untung ineos,negatif
"@satriatgrk disini gw ga bela onana yaa , tapi tadi yang salah maguire malah fokus ke bola ga liat pergerakan welbeck",disini gw ga bela onana yaa tapi tadi yang salah maguire malah fokus ke bola ga liat pergerakan welbeck,negatif
"Mainnya lumayan, nggak terlalu buruk tapi juga nggak spesial.",mainnya lumayan nggak terlalu buruk tapi juga nggak spesial,positif
"Botak emang beda, pemain pengganti kocak semua",botak emang beda pemain pengganti kocak semua,positif
"Pertandingan seru, tapi tim harus lebih konsisten kalau mau menang terus.",pertandingan seru tapi tim harus lebih konsisten kalau mau menang terus,positif
betul bro yg penting menang aja udah Alhamdulillah,betul bro yg penting menang aja udah alhamdulillah,positif
@niam.dc00 dlm bersepak bola juga butuh pemain pembawa keberuntungan...dulu puzzle SAF adala ERIC CANTONA...nomer 7 nggak layak buat mount...kalau nggak suruh dia ganti no punggung,dc dlm bersepak bola juga butuh pemain pembawa keberuntungandulu puzzle saf adala eric cantonanomer nggak layak buat mountkalau nggak suruh dia ganti no punggung,positif
"Kemenangan memang penting, tapi lebih penting lagi konsistensi.",kemenangan memang penting tapi lebih penting lagi konsistensi,positif
Sangaaat layaaak.... Tim remukan rengginang tukang sogok wasittt.. Harooommmmm,sangat layak tim remukan rengginang tukang sogok wasit harom,positif
"Amorim ngebangun chemistry tim yang solid, sampe yang muda-muda pun bisa saling dukung dan berkembang.",amorim ngebangun chemistry tim yang solid sampe yang mudamuda pun bisa saling dukung dan berkembang,positif
"@muhammadsaeful39 sabar dulu bang wkwkw.  pergantiannya emang aneh. tunggu 1 tahun lagi biar genap 4 tahun, kalo masih gitu gitu aja harus out ETH. kenapa 4 tahun kita liat aja ke klop di liverpool",sabar dulu bang wkwkw pergantiannya emang aneh tunggu tahun lagi biar genap tahun kalo masih gitu gitu aja harus out eth kenapa tahun kita liat aja ke klop di liverpool,positif
"Kenapa tiap emyu cetak gol ,itu wasit var matanya langsung jeli.",kenapa tiap emyu cetak gol itu wasit var matanya langsung jeli,netral
Fit tapi planga plongo,fit tapi planga plongo,netral
"Laga kedua menunjukkan bahwa Ruben Amorim sudah mulai membuat perubahan dalam permainan tim, meskipun masih ada banyak ruang untuk perbaikan.",laga kedua menunjukkan bahwa ruben amorim sudah mulai membuat perubahan dalam permainan tim meskipun masih ada banyak ruang untuk perbaikan,netral
"@reyhndk_ busettt,baru kalah sekali aja udah kayak 6 kali kalah beruntun,lebayy amat. permainan udah keliatan jauh meningkat timbang musim kemaren,musim kemaren passing aja pada gak bisa,skarang udah bisa keluar dari pressing lawan",busetbaru kalah sekali aja udah kayak kali kalah beruntunlebayy amat permainan udah keliatan jauh meningkat timbang musim kemarenmusim kemaren passing aja pada gak bisaskarang udah bisa keluar dari pressing lawan,negatif
Pergerakan tanpa bola lebih baik di era Amorim dibanding Ten Hag.,pergerakan tanpa bola lebih baik di era amorim dibanding ten hag,positif
"@foamiso iya itu maksud gw, bola udh depan semua pemain brigton, kan suka tuh udh one on one sama kiper trus bola nya di oper ke samping, kga offside",iya itu maksud gw bola udh depan semua pemain brigton kan suka tuh udh one on one sama kiper trus bola nya di oper ke samping kga offside,negatif
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral
"@rezkynurhadii dia free transfer, seengga nya ada opsi gelandang , apalagi eriksen lindelof sancho mau out, bisa ngurangin gaji tim",dia free transfer seengga nya ada opsi gelandang apalagi eriksen lindelof sancho mau out bisa ngurangin gaji tim,positif
@mrihsani keputusan bijak nan cerdas wkwk ga ngikutin sebulan aja hidup rasanya lebih fresh,keputusan bijak nan cerdas wkwk ga ngikutin sebulan aja hidup rasanya lebih fresh,positif
"Kekalahan 1-2! Kita bermain sangat buruk, terutama di lini belakang. Harus segera diperbaiki sebelum terlambat.",kekalahan kita bermain sangat buruk terutama di lini belakang harus segera diperbaiki sebelum terlambat,negatif
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral
@rcberlianto flop juga gak masalah sih harga murah+gaji juga turun jauh. *Tidak ada biaya peminjaman juga,flop juga gak masalah sih harga murahgaji juga turun jauh tidak ada biaya peminjaman juga,positif
Kekalahan 1-2 yang sangat mengecewakan. Kita terlalu mudah kebobolan dan nggak ada perbaikan di lini belakang.,kekalahan yang sangat mengecewakan kita terlalu mudah kebobolan dan nggak ada perbaikan di lini belakang,positif
wkwk kasihan pelatih nya numpuk semua u,wkwk kasihan pelatih nya numpuk semua u,negatif
Kelihatannya comment tapi ndak lihat pertandingan,kelihatannya comment tapi ndak lihat pertandingan,negatif
Bales babak ke-2. Di st0ry ï£¿Ã¼Ã«Ã¢ @dwichynsp selalu share lÂ¬Â°nk nntn Emyu,bales babak ke di stry selalu share l nk nntn emyu,netral
"Kalau mau juara, mental harus diperbaiki dulu. Jangan gampang down kalau ketinggalan.",kalau mau juara mental harus diperbaiki dulu jangan gampang down kalau ketinggalan,positif
G jeles amat dokter fishio emyu iniï£¿Ã¼Ã²Ã trutma luke shawï£¿Ã¼Ã²Ã,g jeles amat dokter fishio emyu ini trutma luke shaw,negatif
@andrian_mufti2 intinya lebih ke ngapain masih mainin si Dalot,intinya lebih ke ngapain masih mainin si dalot,negatif
"@irfansyahidi kebobolan tadi salah martinez bukan maguire, dia gak jaga welbeck",kebobolan tadi salah martinez bukan maguire dia gak jaga welbeck,negatif
Ayo unyu2 jangan lawak lagi kek musim lalu dong,ayo unyu jangan lawak lagi kek musim lalu dong,negatif
"Sehat"" dahhh",sehat dah,positif
Oi Oi Oi.....,oi oi oi,netral
"Amorim kasih kita kemenangan penting, tapi pertahanan tetap jadi masalah. 4-1 buat MU, tapi harus lebih solid.",amorim kasih kita kemenangan penting tapi pertahanan tetap jadi masalah buat mu tapi harus lebih solid,positif
Tolong jangan nonton MU sampe juara ï£¿Ã¼Ã²Ã,tolong jangan nonton mu sampe juara,negatif
"Ruben Amorim sudah menunjukkan tanda-tanda positif dalam laga pertama, meskipun hasilnya imbang, saya percaya dia bisa memperbaiki tim lebih baik.",ruben amorim sudah menunjukkan tandatanda positif dalam laga pertama meskipun hasilnya imbang saya percaya dia bisa memperbaiki tim lebih baik,positif
@adeyogapratamaa klu streaming dimana,klu streaming dimana,netral
"tinggal main doang apa susahnya ,system lu aja gajelas wkwk",tinggal main doang apa susahnya system lu aja gajelas wkwk,positif
Antony tuker mudryk aja,antony tuker mudryk aja,netral
@basitbasitun2025 luke shaw masih idup..kirain dah mati..,luke shaw masih idupkirain dah mati,negatif
"Sangat mengecewakan! 1-2 kalah, pertahanan dan serangan sangat buruk! Kita harus belajar dari kesalahan ini.",sangat mengecewakan kalah pertahanan dan serangan sangat buruk kita harus belajar dari kesalahan ini,negatif
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral
@abang.lae tenang ada mas mount ï£¿Ã¼Ã²Ã,lae tenang ada mas mount,netral
"Harus beli tipikal pemain no 8 dan bisa free role, plus 1 penyerang pengalaman",harus beli tipikal pemain no dan bisa free role plus penyerang pengalaman,netral
"Chemistry tim meningkat di bawah Amorim, pemain lebih bebas berekspresi.",chemistry tim meningkat di bawah amorim pemain lebih bebas berekspresi,positif
@arisrmdhan_ rashford pun tak guna,rashford pun tak guna,netral
@maulanapetzl_23 terus coba sebutin siapa yg cocok gantiin?,terus coba sebutin siapa yg cocok gantiin,netral
